"day","T"
274.5,288.15
275,276.15
275.5,292.15
276,284.15
277,284.15
278.5,290.15
279,282.15
279.5,290.15
280,284.15
280.5,287.15
281,284.15
281.5,288.15
282,284.15
284.5,283.15
285,272.15
285.5,285.15
286,276.15
286.5,284.15
287,275.15
287.5,282.15
288,279.15
288.5,283.15
289.5,282.15
290,274.15
291.5,289.15
293,277.15
293.5,286.15
294.5,284.15
295,275.15
296.5,286.15
297,278.15
297.5,287.15
298,282.15
298.5,288.15
299.5,284.15
300,277.15
300.5,283.15
301,275.15
301.5,284.15
302,275.15
302.5,285.15
303,273.15
303.5,283.15
304,281.15
305,281.15
305.5,284.15
306,280.15
308,282.15
309,277.15
310,274.15
310.5,281.15
311,274.15
311.5,284.15
312,284.15
312.5,288.15
313.5,286.15
314,279.15
314.5,282.15
315.5,282.15
316,275.15
316.5,287.15
317,278.15
317.5,283.15
318,276.15
318.5,280.15
319.5,281.15
320.5,279.15
321,271.15
322,274.15
324.5,279.15
325,269.15
325.5,278.15
326,272.15
327.5,284.15
328.5,286.15
329,273.15
329.5,278.15
330.5,275.15
331,270.15
331.5,276.15
332,268.15
332.5,273.15
333.5,276.15
334.5,275.15
335,262.15
335.5,274.15
336,262.15
337,276.15
337.5,285.15
338,283.15
338.5,286.15
339.5,284.15
341,271.15
342,274.15
342.5,278.15
343,271.15
343.5,278.15
346,275.15
346.5,282.15
347.5,282.15
348.5,278.15
349,272.15
351.5,278.15
352,272.15
352.5,276.15
353,273.15
353.5,277.15
354,276.15
354.5,280.15
355,279.15
355.5,280.15
356.5,279.15
357,273.15
357.5,278.15
358.5,278.15
359,270.15
360,275.15
360.5,285.15
361.5,284.15
363,282.15
363.5,284.15
365.5,276.15
366,270.15
366.5,274.15
368,273.15
369,274.15
370.5,282.15
371.5,281.15
372,275.15
372.5,282.15
373.5,279.15
374.5,277.15
375,273.15
376.5,282.15
377,278.15
377.5,285.15
378,277.15
378.5,280.15
379,276.15
380.5,285.15
382,276.15
382.5,283.15
383,282.15
383.5,284.15
384,282.15
384.5,284.15
385.5,282.15
386,273.15
386.5,280.15
387,275.15
387.5,278.15
388,276.15
389,279.15
389.5,282.15
390,279.15
390.5,282.15
391,277.15
391.5,281.15
392.5,280.15
393.5,282.15
394,274.15
394.5,280.15
395,277.15
395.5,282.15
396,276.15
396.5,282.15
397,276.15
397.5,282.15
398,278.15
398.5,281.15
399.5,281.15
400,272.15
400.5,276.15
401.5,278.15
402,273.15
402.5,277.15
403.5,279.15
404,272.15
405.5,283.15
406,279.15
406.5,283.15
407.5,285.15
409,274.15
410,273.15
410.5,280.15
411,278.15
411.5,283.15
412,279.15
412.5,282.15
414,278.15
414.5,279.15
415.5,280.15
416,272.15
417,280.15
417.5,286.15
418.5,282.15
419.5,283.15
420,273.15
420.5,280.15
421,278.15
421.5,284.15
422,278.15
422.5,282.15
424,274.15
424.5,277.15
425,273.15
425.5,276.15
426,272.15
426.5,280.15
427,272.15
427.5,279.15
428,273.15
428.5,278.15
429,274.15
429.5,278.15
430,272.15
430.5,280.15
431,278.15
431.5,285.15
433.5,277.15
434,275.15
434.5,278.15
435,276.15
435.5,279.15
436,276.15
436.5,278.15
437,276.15
437.5,280.15
438,275.15
438.5,281.15
439,276.15
440,280.15
440.5,285.15
441.5,284.15
442,276.15
442.5,284.15
443.5,284.15
444.5,284.15
445,272.15
445.5,282.15
446.5,279.15
447,274.15
447.5,284.15
448,277.15
449,278.15
449.5,282.15
450,277.15
450.5,280.15
451.5,282.15
452,277.15
452.5,282.15
453,274.15
453.5,284.15
454,273.15
454.5,287.15
455,274.15
455.5,288.15
456,272.15
456.5,286.15
457.5,282.15
458,272.15
458.5,281.15
459.5,284.15
460,277.15
460.5,281.15
461,278.15
461.5,280.15
462,277.15
462.5,280.15
463,276.15
463.5,282.15
464.5,286.15
465,272.15
465.5,289.15
466,278.15
466.5,280.15
467,278.15
467.5,279.15
468.5,280.15
469,272.15
469.5,283.15
470,275.15
470.5,285.15
471.5,281.15
472,278.15
472.5,281.15
474.5,281.15
475,274.15
475.5,282.15
476.5,284.15
477,274.15
477.5,286.15
478,277.15
478.5,284.15
479,277.15
479.5,282.15
480,278.15
480.5,283.15
481,275.15
481.5,283.15
482,272.15
482.5,284.15
483,276.15
483.5,281.15
484,277.15
484.5,287.15
485,274.15
485.5,289.15
486,278.15
486.5,285.15
487,278.15
487.5,286.15
488,275.15
488.5,286.15
489.5,283.15
490,279.15
490.5,284.15
491,274.15
491.5,285.15
492,273.15
492.5,286.15
493,275.15
493.5,290.15
494,278.15
494.5,289.15
495,281.15
495.5,290.15
496,280.15
496.5,288.15
497,280.15
497.5,288.15
498,282.15
498.5,291.15
499,279.15
499.5,290.15
500,276.15
500.5,292.15
501,278.15
501.5,292.15
502,281.15
502.5,290.15
503,283.15
503.5,292.15
504,281.15
504.5,292.15
505,282.15
505.5,290.15
506,282.15
506.5,287.15
507,281.15
507.5,288.15
508,281.15
508.5,286.15
509,280.15
509.5,285.15
510,280.15
510.5,290.15
511,280.15
511.5,294.15
512,282.15
512.5,291.15
513.5,289.15
514,277.15
514.5,289.15
515,276.15
515.5,290.15
516,277.15
516.5,291.15
517,278.15
517.5,292.15
518.5,291.15
519,282.15
519.5,290.15
520,278.15
520.5,290.15
521,280.15
521.5,287.15
522,280.15
522.5,287.15
523,280.15
523.5,288.15
524.5,286.15
525,279.15
525.5,288.15
526,279.15
526.5,287.15
527,281.15
527.5,292.15
528,285.15
528.5,292.15
529,280.15
529.5,293.15
530,278.15
530.5,294.15
531,280.15
531.5,289.15
532,283.15
532.5,293.15
533.5,292.15
534,281.15
534.5,290.15
535,284.15
535.5,293.15
536,284.15
536.5,297.15
537,284.15
537.5,297.15
538,283.15
538.5,290.15
539,285.15
539.5,288.15
540,284.15
540.5,287.15
541,283.15
541.5,288.15
542.5,286.15
543.5,286.15
544,274.15
544.5,289.15
545,283.15
545.5,291.15
546,284.15
546.5,291.15
547.5,292.15
548,280.15
548.5,291.15
549,283.15
549.5,291.15
550.5,288.15
551,285.15
551.5,292.15
552,282.15
552.5,292.15
553,284.15
553.5,294.15
554,284.15
554.5,294.15
555,287.15
555.5,293.15
556.5,292.15
557,283.15
557.5,290.15
558,284.15
558.5,292.15
559,284.15
559.5,293.15
560,282.15
560.5,292.15
561,284.15
561.5,290.15
562,285.15
562.5,292.15
563,280.15
563.5,292.15
564,281.15
564.5,292.15
565,283.15
565.5,292.15
566.5,294.15
567,283.15
567.5,293.15
568.5,294.15
569,279.15
569.5,291.15
570,281.15
570.5,291.15
571,283.15
571.5,292.15
572.5,292.15
573,284.15
573.5,292.15
574.5,292.15
575,284.15
575.5,293.15
576,280.15
576.5,288.15
577,285.15
577.5,289.15
578,283.15
578.5,290.15
579,281.15
579.5,291.15
580,283.15
580.5,292.15
581,278.15
581.5,290.15
582.5,295.15
583,282.15
583.5,296.15
584,282.15
584.5,293.15
585,285.15
585.5,290.15
586,284.15
586.5,292.15
587,285.15
587.5,291.15
588.5,291.15
589,282.15
589.5,292.15
590,283.15
590.5,291.15
591,285.15
591.5,292.15
592,288.15
592.5,295.15
593,286.15
593.5,293.15
594.5,292.15
595,278.15
595.5,292.15
596,282.15
596.5,293.15
597,282.15
597.5,295.15
598,282.15
598.5,293.15
599,285.15
599.5,292.15
600,286.15
600.5,293.15
601,287.15
601.5,294.15
602.5,294.15
603,284.15
603.5,291.15
604.5,291.15
605,277.15
605.5,292.15
606,281.15
606.5,293.15
607,287.15
607.5,292.15
608.5,291.15
609,280.15
609.5,292.15
610,284.15
610.5,288.15
611,286.15
611.5,288.15
612,283.15
612.5,289.15
613.5,288.15
614,281.15
614.5,289.15
615,282.15
615.5,289.15
616,284.15
616.5,290.15
617,283.15
617.5,290.15
618,280.15
618.5,291.15
619,282.15
619.5,290.15
620,285.15
620.5,293.15
621.5,292.15
622,282.15
622.5,291.15
623.5,289.15
624,282.15
624.5,293.15
625.5,290.15
626,280.15
626.5,290.15
627,280.15
627.5,288.15
628,280.15
628.5,288.15
629.5,288.15
630,280.15
630.5,287.15
631,281.15
631.5,287.15
632,280.15
632.5,286.15
633,279.15
633.5,283.15
634,278.15
634.5,287.15
635,274.15
635.5,282.15
636,276.15
636.5,285.15
637,273.15
637.5,286.15
638,276.15
638.5,287.15
639,274.15
639.5,285.15
