day,T
1294.5,298.15
1295,290.15
1296,290.15
1296.5,302.15
1297,289.15
1297.5,300.15
1298,290.15
1298.5,300.15
1300,293.15
1300.5,303.15
1301,290.15
1301.5,303.15
1302,285.15
1302.5,299.15
1303,289.15
1304,290.15
1304.5,298.15
1308,289.15
1309,288.15
1309.5,299.15
1310,287.15
1310.5,297.15
1311,287.15
1311.5,297.15
1312,288.15
1312.5,295.15
1313,289.15
1314,289.15
1314.5,296.15
1315,291.15
1316,287.15
1316.5,294.15
1317,285.15
1322,288.15
1324,291.15
1324.5,303.15
1325,292.15
1325.5,303.15
1326,290.15
1326.5,304.15
1329,291.15
1330,291.15
1330.5,303.15
1334,291.15
1336,287.15
1336.5,297.15
1337,288.15
1338,291.15
1338.5,301.15
1340,289.15
1340.5,299.15
1341,288.15
1344,291.15
1344.5,302.15
1345,291.15
1345.5,302.15
1347,290.15
1347.5,298.15
1350,289.15
1350.5,301.15
1351,287.15
1352,288.15
1353,290.15
1353.5,299.15
1357,284.15
1358,283.15
1358.5,293.15
1359,285.15
1360,286.15
1518,287.15
1518.5,297.15
1580,285.15
1580.5,292.15
1606,285.15
1606.5,290.15
1676,286.15
1676.5,295.15
1742,292.15
1766,291.15
1766.5,301.15
1865,285.15
1865.5,292.15
1885,287.15
1885.5,294.15
1921,285.15
1932,285.15
1932.5,291.15
1941,285.15
1941.5,299.15
1958,285.15
1959,280.15
1959.5,294.15
2045,288.15
2045.5,294.15
2048,286.15
2048.5,295.15
2060,288.15
2060.5,290.15
2072,290.15
2072.5,294.15
2108,291.15
2108.5,302.15
2130,290.7500004
2130.5,298.5499996
2142,288.4500002
2142.5,298.7500004
2163,290.4499992
2163.5,298.4499992
2164,290.0499996
2164.5,299.65
2245,286.5499996
2245.5,296.0499996
2247,282.7500004
2260,289.15
2286,287.9500002
2289,287.8499998
2289.5,295.3500008
2315.5,295.9499992
2316,288.15
2316.5,295.2500004
2331,284.5499996
2349,287.0499996
2362,290.3500008
2362.5,298.4499992
2402,287.4500002
2402.5,295.4499992
2423,291.15
2441,289.5499996
2451,290.7500004
2451.5,301.5499996
2463,289.5499996
2463.5,299.15
2468,290.5499996
2501,290.4499992
2501.5,296.3500008
2542,292.3500008
2584.5,297.7500004
2598,290.8500008
2598.5,301.2500004
2618,290.2500004
2618.5,298.9499992
2657.5,302.8500008
2658,286.2500004
2658.5,293.7500004
2661,287.4500002
2661.5,297.9499992
2761,289.5499996
2773,288.65
2773.5,292.65
2920,291.2500004
2920.5,299.65
2984,290.15
2984.5,300.2500004
3049,288.5499996
3255,290.5499996
3255.5,300.9499992
3379,279.8499998
3379.5,290.3500008
3403,287.4500002
3403.5,299.0499996
4191,287.7500004
4191.5,302.3500008
4616,286.0499996
4782,292.0499996
4878,282.0499996
4878.5,290.9499992
5048,291.4499992
6470,291.4499992
6470.5,301.5499996
7121,284.5499996
8507.5,293.8500008
8508,286.3499998
8509.5,294.15
8512.5,299.8500008
8516,285.15
8521.5,295.65
8524,281.9500002
8525,282.3499998
8526,283.5499996
8527,283.5499996
8528,285.9500002
8529,283.4500002
8530,286.65
8531,287.15
8532,286.5499996
8532.5,295.65
8533,286.5499996
8534,286.15
8535,284.7500004
8535.5,296.65
8537,286.15
8538,286.9500002
8538.5,297.0499996
8540,287.5499996
8540.5,298.2500004
8541,285.9500002
8541.5,298.2500004
8542,284.7500004
8545,282.3499998
8546,283.9500002
8546.5,293.2500004
8547.5,292.0499996
8548,283.65
8548.5,290.7500004
8549,281.8499998
8550,282.9500002
8551,285.15
8551.5,296.7500004
8552,284.5499996
8552.5,295.7500004
8553,284.65
8554,287.0499996
8554.5,298.65
8555,289.65
8556,289.0499996
8557.5,300.2500004
8558.5,295.4499992
8559,279.65
8560,281.0500001
8560.5,288.8499998
8561,282.65
8562,284.0499996
8563,285.2500004
8563.5,295.15
8564,285.65
8565,285.0499996
8566,285.65
8567,284.2500004
8568,284.0499996
8568.5,296.4499992
8570.5,300.2500004
8571.5,300.4499992
8572,289.8500008
8573,286.2500004
8573.5,302.8500008
8574,286.2500004
8574.5,301.0499996
8575,288.0499996
8576,288.2500004
8577,289.2500004
8578,289.8500008
8578.5,301.7500004
8579,289.0499996
8579.5,301.8500008
8580.5,299.4499992
8581,290.2500004
8582,290.4499992
8583,289.8500008
8583.5,303.15
8584.5,293.65
8585,285.9500002
8585.5,293.15
8586,286.4500002
8589,290.4499992
8589.5,300.2500004
8590.5,296.65
8592,286.0499996
8592.5,295.65
8593,285.65
8594,287.8499998
8594.5,299.15
8595,287.65
8595.5,298.2500004
8596,287.65
8596.5,299.0499996
8597,284.4500002
8597.5,294.0499996
8598,280.15
