"day","T","...3"
717.5,293.9499992,NA
718,306.15,NA
720,305.65,NA
721.5,296.65,NA
722,307.15,NA
723,305.65,NA
724,306.15,NA
725,305.5500015,NA
725.5,298.15,NA
726,304.65,NA
727,305.4499992,NA
728,304.65,NA
730,304.9499992,NA
731.5,298.15,NA
732,306.15,NA
732.5,298.65,NA
733,305.15,NA
733.5,298.65,NA
734,306.8500008,NA
734.5,297.9499992,NA
735.5,295.65,NA
736,306.65,NA
736.5,295.15,NA
737,305.7499985,NA
737.5,293.65,NA
738,305.65,NA
739,305.65,NA
739.5,296.15,NA
740,305.8500008,NA
740.5,295.4499992,NA
741,305.65,NA
741.5,297.15,NA
742,305.0499996,NA
743,305.65,NA
743.5,298.15,NA
744,306.15,NA
744.5,298.2500004,NA
745,305.9499992,NA
745.5,298.7500004,NA
746.5,298.65,NA
748,304.65,NA
749,306.15,NA
749.5,297.65,NA
751.5,297.7500004,NA
752.5,297.65,NA
753.5,298.4499992,NA
754,305.15,NA
754.5,297.65,NA
755,303.3500008,NA
758.5,297.3500008,NA
759.5,297.65,NA
761.5,298.15,NA
763.5,296.15,NA
764.5,297.65,NA
765.5,297.9499992,NA
766.5,296.15,NA
767.5,293.5499996,NA
769.5,297.7500004,NA
770.5,297.9499992,NA
771.5,298.65,NA
772.5,298.65,NA
773.5,298.65,NA
774.5,298.15,NA
778.5,296.65,NA
780.5,297.5499996,NA
781.5,297.9499992,NA
782.5,298.15,NA
783.5,297.65,NA
785,304.2500004,NA
785.5,299.3500008,NA
786,306.15,NA
787.5,296.15,NA
788.5,297.4499992,NA
790.5,298.5499996,NA
791.5,298.9499992,NA
792,306.7499985,NA
793,308.15,NA
793.5,297.5499996,NA
794.5,298.2500004,NA
795.5,298.65,NA
796.5,296.65,NA
797.5,298.65,NA
798.5,297.65,NA
799.5,298.65,NA
801.5,296.4499992,NA
802,308.15,NA
803,307.65,NA
804,307.65,NA
805.5,300.65,NA
807,307.15,NA
807.5,299.15,NA
808.5,299.3500008,NA
809,303.2500004,NA
809.5,299.5499996,NA
810.5,299.0499996,NA
813.5,299.5499996,NA
814.5,299.15,NA
815.5,299.8500008,NA
816.5,296.65,NA
820.5,297.65,NA
825.5,295.65,NA
826.5,298.65,NA
828.5,298.65,NA
829.5,299.65,NA
832.5,299.15,NA
834.5,298.15,NA
837.5,298.15,NA
840.5,295.15,NA
844.5,298.65,NA
845.5,295.15,NA
850.5,297.15,NA
851.5,298.15,NA
852.5,298.15,NA
853.5,297.65,NA
854.5,299.65,NA
856.5,296.3500008,NA
857.5,298.15,NA
858.5,296.65,NA
859.5,298.3500008,NA
860.5,297.65,NA
861.5,298.3500008,NA
863.5,298.2500004,NA
865.5,297.65,NA
866.5,298.65,NA
868.5,294.65,NA
870.5,297.65,NA
875.5,293.15,NA
878.5,296.0499996,NA
880.5,298.15,NA
881.5,298.4499992,NA
883.5,296.15,NA
884.5,297.15,NA
885.5,298.65,NA
886.5,297.65,NA
889.5,294.3500008,NA
890.5,297.65,NA
892.5,298.5499996,NA
895.5,295.65,NA
897.5,294.9499992,NA
899.5,296.65,NA
900.5,297.15,NA
901.5,298.3500008,NA
902.5,298.4499992,NA
903.5,295.65,NA
904.5,296.5499996,NA
905.5,297.65,NA
906.5,296.5499996,NA
908.5,294.5499996,NA
910.5,294.65,NA
911.5,296.65,NA
912.5,295.4499992,NA
914.5,296.65,NA
915.5,296.15,NA
917.5,296.4499992,NA
919.5,296.5499996,NA
920.5,296.15,NA
921.5,296.3500008,NA
922.5,296.4499992,NA
923.5,295.65,NA
924.5,295.5499996,NA
925.5,296.65,NA
926.5,296.3500008,NA
928.5,296.65,NA
929.5,296.65,NA
930.5,296.65,NA
931.5,296.65,NA
934.5,295.3500008,NA
935.5,296.65,NA
936.5,296.15,NA
