Time,J,A,S,tau,r
0.0,1.0,1.0,0.6440217903409952,16.949152542372882,0.0
1.0,8.816433417470659,4.17820085469011,0.6439673190589085,16.904488916074328,0.03308756714686483
2.0,28.426352299415964,7.23046112413576,0.6439118761699593,16.858329956772817,0.033109931932016064
3.0,57.7897590102035,10.161696884633237,0.6438554608051116,16.81068179598281,0.03313221209069552
4.0,95.1751819755435,12.976629984609655,0.6437980739196059,16.76155312038419,0.03315438725563657
5.0,139.11150626423054,15.679808161437004,0.6437397157346162,16.710950715020143,0.033176465425641115
6.0,188.34743642664773,18.275595770991966,0.6436803884480514,16.658885083052787,0.03319842954335028
7.0,241.81799037674148,20.768198346600453,0.6436200932523003,16.60536417060801,0.03322028392766331
8.0,298.61637839825164,23.161659225222053,0.6435588284109082,16.55039641912356,0.033242028743233
9.0,357.97117904994406,25.45986644924595,0.6434965994845667,16.49399058730008,0.033263662929215704
10.0,419.2254585674099,27.66654568836126,0.6434334108661842,16.436160969982524,0.03328516828038084
11.0,481.82008546962277,29.785286782171614,0.6433692667677194,16.37691957353203,0.033306539839675714
12.0,545.2799030884613,31.819548460556828,0.6433041690910137,16.3162754720944,0.033327782060581165
13.0,609.20223812224,33.772654051791726,0.6432381268688819,16.254239107891717,0.03334889470906698
14.0,673.2447013913493,35.64778940006351,0.6431711404080421,16.19082557545447,0.033369867068075786
15.0,737.1176805472303,37.44803333430375,0.6431032062162959,16.126043871313087,0.03339070424742804
16.0,800.5807498947199,39.17634326074311,0.6430343472050944,16.059901274494088,0.03341141336968189
17.0,860.4817305017897,44.40848266628516,0.6430234757083648,16.04674140396534,0.03318620658881457
18.0,913.8660542365648,57.46214508548273,0.6430051991451812,16.01787539327375,0.03297839887599374
19.0,957.8380796834804,76.86563982464169,0.6429869977855913,15.989156363535821,0.032792797000258195
20.0,985.6065950961932,101.36066624327572,0.6429688897860545,15.960859019579567,0.03262634594328609
21.0,992.2773828643549,129.8882150259452,0.6429509204083782,15.933228603163046,0.03247650686236041
22.0,977.3164095759344,161.55471708077786,0.6429331793078612,15.90645833374068,0.032341157484064485
23.0,943.6786028521253,195.60308140820163,0.6429157863677334,15.88068579154751,0.03221843299801262
24.0,895.8153701415863,231.39077275535624,0.6428988607810348,15.855991549831527,0.032106658016546184
25.0,838.1086645062364,268.37420416500413,0.6428824909097619,15.832406065706559,0.03200438032858675
26.0,774.1267124929528,306.0944105624953,0.6428667449466837,15.809924440992747,0.0319102969183913
27.0,706.4758635900657,344.16792332182825,0.6428516472760664,15.78851606088715,0.03182328658992119
28.0,636.9393647768442,382.2763407666417,0.6428372057393916,15.768134594028352,0.031742371361423695
29.0,566.6936670504266,420.1584294591223,0.642823411247134,15.748718081820357,0.03166674365654175
30.0,496.5026348051537,457.6016236582914,0.6428102443712346,15.730200122794866,0.03159571142167666
31.0,426.86164021041395,494.43610717677296,0.6427976658600714,15.712522702986329,0.03152877319905611
32.0,358.0928987807325,530.5295453965351,0.6427856514995164,15.695619786527699,0.03146544843657497
33.0,289.5590670285059,566.625580319631,0.6427741625633531,15.679429102655932,0.03140539593344608
34.0,221.1133356786828,602.918005558587,0.6427631649248288,15.66389463937593,0.031348304686231405
35.0,156.94244933324234,635.2711993418344,0.642752626742914,15.648968952084985,0.031293927720486114
36.0,102.28401001131448,658.5549300337001,0.6427425122399844,15.634603652823351,0.031242076684951048
37.0,60.020866906357114,670.0405214041988,0.6427327909657977,15.620757452001726,0.031192580220464845
38.0,30.000359607712745,670.0426452095198,0.6427234333402831,15.607392776884886,0.03114528757212275
39.0,10.135170586744753,660.7844319447705,0.6427144105674583,15.594474838483158,0.031100066904257255
40.0,-2.2514620987641143,645.0371788484879,0.6427056964222136,15.581973615521663,0.031056799315792537
41.0,-9.57377038058655,625.2692400028503,0.6426972658521335,15.569861719414257,0.031015375209114297
42.0,-13.663410065010945,603.3349181795892,0.642689096500382,15.558114813019392,0.03097569446616242
43.0,-15.769751164215046,580.485355522514,0.6426811727945525,15.54671350497167,0.03093766136502529
44.0,-16.685170736267562,557.5028958407133,0.6426734812203252,15.535639529426383,0.030901188989119522
45.0,-16.88489238057415,534.8479224597818,0.6426660052620653,15.52487873157463,0.030866193613028146
46.0,-16.63965360607083,512.776092179988,0.6426587308240298,15.514417260193765,0.030832600586575318
47.0,-16.093289270526245,491.41936793389345,0.6426516506882346,15.504243704614288,0.03080032429292183
48.0,-15.311983262702089,470.83743734508874,0.6426447538762078,15.494348669998358,0.030769295666996984
49.0,-14.312831305336077,451.04800364552847,0.6426380336133595,15.484723098548796,0.030739447286429068
50.0,-13.082920826821777,432.0472930425485,0.6426314853181614,15.475357702307377,0.030710717342388002
51.0,-11.589970770652062,413.82163035915545,0.6426251010917132,15.466252152191391,0.030683053483970314
52.0,-9.7844934744132,396.3503256352862,0.6426188773438493,15.45740278227558,0.030656398264816566
53.0,-7.60193125290093,379.60846508353626,0.6426128114780356,15.4488077867036,0.03063069513169004
54.0,-4.9650950165711025,363.5696516033309,0.6426069030481075,15.440464619142203,0.030605891457005933
55.0,-1.7859373255806106,348.2077374739562,0.6426011524620793,15.43237272484161,0.030581936083823834
56.0,2.0331619264771463,333.4977741614729,0.6425955613196892,15.424533513076724,0.030558781723190185
57.0,6.598133892653679,319.416565434689,0.6425901322709726,15.416947887624444,0.03053638182454525
58.0,12.0215606800213,305.9430765211455,0.6425848678452305,15.40961823787094,0.030514694043458582
59.0,18.420568228595926,293.0588256894205,0.6425797725013677,15.402547835757574,0.030493677407384567
60.0,25.914288741807194,280.7482536794957,0.6425748500539821,15.395740311952975,0.030473292996183555
61.0,34.620467837235296,268.999152669587,0.6425701055389031,15.38919992199519,0.030453504233347577
62.0,44.65148908129874,257.803111669401,0.6425655442060676,15.382931341232227,0.030434275185472887
63.0,56.109877023931666,247.15601279581423,0.6425611712771364,15.376940016741125,0.03041557433428519
64.0,69.08269654616699,237.0585105975142,0.6425569918072429,15.37123073223511,0.030397370257329078
65.0,83.63519553887926,227.51655204159005,0.6425530131385483,15.365809705471547,0.030379632841062477
66.0,99.8047971234834,218.54180661416257,0.6425492413298789,15.360683338719577,0.030362335203786513
67.0,117.59356142121109,210.1519861222063,0.6425456813929429,15.355856591325596,0.030345450370110664
68.0,136.96098204784195,202.37124882060485,0.6425423421533019,15.351337074082982,0.030328953762486226
69.0,157.81741378040576,195.2300389517863,0.642539226835213,15.34712980205461,0.030312824460804765
70.0,180.01787346088423,188.76549539779535,0.6425363407976339,15.343238825614081,0.03029703832984597
71.0,203.35641435412097,183.02091224117044,0.6425336924404081,15.339672370953837,0.030281576509508953
72.0,227.56409410066547,178.04518478102656,0.6425312845673532,15.336434819684767,0.030266422858570546
73.0,252.30721742311775,173.8924445317889,0.6425291235438028,15.333531009545531,0.030251557096896524
74.0,277.19091902480756,170.62085943671536,0.6425272132318937,15.33096601068867,0.03023696387796572
75.0,301.7624344216084,168.29110412693774,0.6425255586679371,15.328743461508546,0.030222629625390334
76.0,325.5218554662899,166.96496005351568,0.6425241605693155,15.326863394306669,0.030208538707721843
77.0,347.93427123901785,166.70255590433516,0.6425230226200774,15.325332716887932,0.03019468234345221
78.0,368.44492157401754,167.56073727880923,0.642522147521125,15.324153868558797,0.030181049060124712
79.0,386.4998574123845,169.58971785161427,0.6425215371190546,15.323329307163156,0.030167629738444196
80.0,401.5688113355748,172.83027368250671,0.6425211926523675,15.322858811410198,0.03015441226181264
81.0,413.17234785875144,177.30939968223043,0.6425211149803162,15.322743640698013,0.030141389290382674
82.0,420.90954310750703,183.0368954094114,0.6425213032409952,15.322982481793712,0.030128553064061647
83.0,424.48568382083084,190.00106069239928,0.6425217585734341,15.323576687669354,0.030115898250206986
84.0,423.7350199380249,198.1652264002774,0.6425224773117553,15.324523041990313,0.0301034164670286
85.0,418.63715702260737,207.46355250187733,0.6425234592289252,15.325820962624315,0.03009110433830932
86.0,409.32237621505345,217.79860077250427,0.6425247012007961,15.327467588259864,0.030078955622800982
87.0,396.06555509649405,229.0389750741376,0.6425262011620201,15.329459874812345,0.030066966755597873
88.0,379.26973930809504,241.0186680197271,0.6425279545669376,15.33179366403687,0.03005513422889352
89.0,359.4397949618607,253.5377818795299,0.6425299580965514,15.334464886743472,0.030043454647732077
90.0,337.15302141938173,266.3648999626949,0.6425322066443918,15.337469076056843,0.030031925563785443
91.0,313.02779469953083,279.2414510765052,0.6425346964000578,15.3408017184822,0.03002054427046574
92.0,287.69567593578654,291.88756697745885,0.6425374233847758,15.344458142247111,0.03000931012310774
93.0,261.77739252867053,304.0109702050163,0.642540378861847,15.348430056802991,0.02999821879667024
94.0,235.86448337743218,315.31555089093524,0.6425435591022942,15.352714011070894,0.029987270467473997
95.0,210.50294812923715,325.51426633638886,0.6425469560630003,15.357301297987066,0.02997646344952249
96.0,186.18181549994162,334.3419514622357,0.6425505639750138,15.36218789279737,0.0299657962570312
97.0,163.3206928261589,341.5699576059764,0.6425543779565244,15.367365120817388,0.029955267952210044
98.0,142.26275680409697,347.0195522819602,0.6425583920450039,15.372830324676546,0.029944877928919932
99.0,123.26585013055559,350.57497404321384,0.6425625976999397,15.378576008576395,0.02993462527949172
100.0,106.49936688892019,352.19127222338415,0.6425669895417024,15.3845956870029,0.02992450846661713
101.0,92.04636243975601,351.8970231800685,0.642571562433253,15.390884899160536,0.02991452671614776
102.0,79.9106358391207,349.79068075493166,0.6425763104645514,15.397438220920083,0.029904677832746057
103.0,70.03014236185113,346.03009408054436,0.6425812289602314,15.404251172383715,0.02989496028141366
104.0,62.29463965993139,340.8175141555868,0.6425863116414295,15.411317684599661,0.02988537057146136
105.0,56.56558553307705,334.3815403057174,0.6425915549151725,15.418635481393002,0.029875907199922423
106.0,52.69492353113028,326.9598900028035,0.6425969545307711,15.426201237916915,0.029866567274450768
107.0,50.541184917558994,318.7842303679165,0.6426025073863293,15.434011804073847,0.029857346060827645
108.0,49.98171121738027,310.0685779243059,0.642608211691702,15.442066192135448,0.029848240641400747
109.0,50.91946806626796,301.0026110620836,0.6426140661291393,15.45036350821252,0.029839246387088163
