Time,J,A,S,tau,r
0.0,1.0,1.0,0.5553907362586107,23.809523809523807,0.0
1.0,9.425909271413593,3.676383387150588,0.5553907362586107,23.809523809523807,0.027691791365480455
2.0,29.104292731520548,6.2695535051605695,0.5553907362586107,23.809523809523807,0.02769179136548045
3.0,58.3505379071227,8.78209760201542,0.5553907362586107,23.809523809523807,0.02769179136548046
4.0,95.6978202719353,11.216522486885138,0.5553907362586107,23.809523809523807,0.027691791365480452
5.0,139.86824429551382,13.575257024548403,0.5553907362586107,23.809523809523807,0.027691791365480452
6.0,189.74803012144744,15.86065457664812,0.5553907362586107,23.809523809523807,0.027691791365480445
7.0,244.36620263360484,18.074995302328585,0.5553907362586107,23.809523809523807,0.02769179136548044
8.0,302.87616108767884,20.22048852889695,0.5553907362586107,23.809523809523807,0.02769179136548044
9.0,364.53980952667894,22.29927483101923,0.5553907362586107,23.809523809523807,0.02769179136548044
10.0,428.71378927726767,24.313428249195752,0.5553907362586107,23.809523809523807,0.027691791365480445
11.0,494.8375918078825,26.264958350198988,0.5553907362586107,23.809523809523807,0.027691791365480445
12.0,562.4231067760531,28.155812373753392,0.5553907362586107,23.809523809523807,0.02769179136548044
13.0,631.0459020192815,29.987876632792673,0.5553907362586107,23.809523809523807,0.027691791365480438
14.0,700.3370112271593,31.762979122344117,0.5553907362586107,23.809523809523807,0.02769179136548044
15.0,769.9764315371333,33.482891000607495,0.5553907362586107,23.809523809523807,0.02769179136548044
16.0,839.6870724533576,35.149328380974254,0.5553907362586107,23.809523809523807,0.02769179136548044
17.0,909.2295016333231,36.76395376601378,0.5553907362586107,23.809523809523807,0.02769179136548044
18.0,978.3974291167159,38.32837805372087,0.5553907362586107,23.809523809523807,0.02769179136548044
19.0,1047.013724729884,39.844162092862575,0.5553907362586107,23.809523809523807,0.02769179136548044
20.0,1114.9268622697043,41.312818719136224,0.5553907362586107,23.809523809523807,0.027691791365480438
21.0,1182.0077355083197,42.73581417107933,0.5553907362586107,23.809523809523807,0.02769179136548044
22.0,1248.147387548279,44.11456590973746,0.5553907362586107,23.809523809523807,0.027691791365480445
23.0,1313.254539623213,45.45044874604437,0.5553907362586107,23.809523809523807,0.02769179136548045
24.0,1377.1235552869084,46.87629958949624,0.5553907362586107,23.809523809523807,0.02769179136548045
25.0,1435.5949700973988,52.87667212198754,0.5553907362586107,23.809523809523807,0.027691791365480455
26.0,1486.5847400144742,64.87506204682926,0.5553907362586107,23.809523809523807,0.027691791365480452
27.0,1526.5388369456873,81.92430068892996,0.5553907362586107,23.809523809523807,0.02769179136548046
28.0,1550.1658849972916,103.20181214817627,0.5553907362586107,23.809523809523807,0.027691791365480462
29.0,1553.8068187051147,127.9930879898476,0.5553907362586107,23.809523809523807,0.027691791365480462
30.0,1537.0080231438747,155.67747947722467,0.5553907362586107,23.809523809523807,0.027691791365480462
31.0,1502.0959232953733,185.7159465025287,0.5553907362586107,23.809523809523807,0.027691791365480462
32.0,1452.844145139735,217.64051766973972,0.5553907362586107,23.809523809523807,0.027691791365480455
33.0,1393.228870539329,251.04513288891368,0.5553907362586107,23.809523809523807,0.027691791365480445
34.0,1326.6883694662783,285.5777494319071,0.5553907362586107,23.809523809523807,0.027691791365480438
35.0,1255.8619083767235,320.9334983568415,0.5553907362586107,23.809523809523807,0.02769179136548044
36.0,1182.623949089395,356.84874788804467,0.5553907362586107,23.809523809523807,0.02769179136548044
37.0,1108.2416350882734,393.09587971215313,0.5553907362586107,23.809523809523807,0.027691791365480445
38.0,1033.546613543539,429.4788958705213,0.5553907362586107,23.809523809523807,0.02769179136548044
39.0,959.0808179986763,465.8293220574429,0.5553907362586107,23.809523809523807,0.027691791365480434
40.0,885.1986909919833,502.0029477778292,0.5553907362586107,23.809523809523807,0.027691791365480438
41.0,812.1370733869613,537.8767597439942,0.5553907362586107,23.809523809523807,0.027691791365480438
42.0,740.0587542346864,573.34630745224,0.5553907362586107,23.809523809523807,0.027691791365480438
43.0,669.0790871501714,608.3233794218729,0.5553907362586107,23.809523809523807,0.02769179136548044
44.0,599.2819068169324,642.734053554902,0.5553907362586107,23.809523809523807,0.02769179136548044
45.0,530.7291825380206,676.5170243194692,0.5553907362586107,23.809523809523807,0.027691791365480438
46.0,463.4672042792352,709.6218840427687,0.5553907362586107,23.809523809523807,0.027691791365480438
47.0,397.5304692876946,742.0075380187295,0.5553907362586107,23.809523809523807,0.02769179136548044
48.0,332.933288234241,773.6518521518212,0.5553907362586107,23.809523809523807,0.02769179136548044
49.0,269.4174545704735,804.8039071596302,0.5553907362586107,23.809523809523807,0.027691791365480445
50.0,207.68352438315102,834.7539316572681,0.5553907362586107,23.809523809523807,0.02769179136548044
51.0,150.51724630324955,860.7192221302946,0.5553907362586107,23.809523809523807,0.027691791365480445
52.0,101.2236395206307,879.4193719886529,0.5553907362586107,23.809523809523807,0.02769179136548045
53.0,61.88206750782463,888.8177123400725,0.5553907362586107,23.809523809523807,0.02769179136548045
54.0,32.717945040319,888.7379257398372,0.5553907362586107,23.809523809523807,0.02769179136548046
55.0,12.49414658612124,880.460840060023,0.5553907362586107,23.809523809523807,0.02769179136548047
56.0,-0.7193112257572309,865.9476016113884,0.5553907362586107,23.809523809523807,0.02769179136548048
57.0,-8.894574827896813,847.1870522722572,0.5553907362586107,23.809523809523807,0.02769179136548049
58.0,-13.68680889935445,825.8381545556964,0.5553907362586107,23.809523809523807,0.02769179136548049
59.0,-16.32567112894124,803.1245156886094,0.5553907362586107,23.809523809523807,0.027691791365480486
