Time,T,J,A,S,tau
0,292.168166403961,100.0,100.0,0.726787200942058,10.1010101010101
1,294.296632870513,95.97344148381471,90.12950196372103,0.7293179912658457,9.689785513803036
2,294.555748686313,92.04106486162152,81.15748403165571,0.7320828865667997,9.245778784916737
3,294.813603515493,88.2052839355724,73.01286664114558,0.7350898692498932,8.768648186060513
4,295.070120991884,84.46695445008645,65.62647208771114,0.7383484848905266,8.257864590641486
5,295.325225145603,80.82696330423617,58.93410148311484,0.7418686524618253,7.71290643909468
6,295.578840425564,77.28679031911996,52.87644320350325,0.7456606817136109,7.133260659546406
7,295.830891721869,73.85025586568092,47.39859815703251,0.7488650217609194,6.656198139342949
8,296.081304388060,70.52787474629665,42.44986588080308,0.7500889360152232,6.498052102168205
9,296.330004263240,67.34549565531904,37.983443614476116,0.7512956067229443,6.345239090033926
10,296.576917694051,64.3574558914276,33.95632231459679,0.7524849711419545,6.197584187617434
11,296.821971556496,61.660660607635506,30.329002374673713,0.7536569731377368,6.054918019304737
12,297.065093277608,59.40164380919978,27.06592163168996,0.7548115625382521,5.917076674193987
13,297.306210856955,57.7662361261312,24.1374472270077,0.7559486946818168,5.783901610329521
14,297.545252887976,56.943191503105794,21.525591356758405,0.7570683301353283,5.655239530939155
15,297.782148579140,57.060457021240396,19.23559207955426,0.7581704343265155,5.530942269625972
16,298.016827774922,58.10445763708594,17.312063095985515,0.7592549771075217,5.410866683619051
17,298.249220976593,59.85159399657193,15.851308902700492,0.7603219327161478,5.294874499958779
18,298.479259362813,61.860594012810076,14.996936725978001,0.7613712793505291,5.18283221034763
19,298.706874810026,63.55741242556653,14.908196517828625,0.7624029989313873,5.074610940805438
20,298.931999912642,64.38234714219293,15.701902435096484,0.7634170768693115,4.970086326123612
21,299.154568003017,63.93536184725581,17.381889006215264,0.7644135018378017,4.869138384244467
22,299.374513171204,62.08964534201751,19.786700134364178,0.7653922655569189,4.7716513919332115
23,299.591770284484,59.041171015961375,22.599811018854083,0.7663533626336939,4.677513756813771
24,299.806275006667,55.2397352008011,25.435544456300914,0.7672967903449722,4.586617899062043
25,300.017963817155,51.2375556618413,27.94105097541811,0.7682225484746639,4.4988601300143465
26,300.226774029767,47.552063028388915,29.8614521353839,0.769130639148838,4.414140533593205
27,300.432643811312,44.55880158377191,31.08895534348673,0.7700210666899877,4.332362850288231
28,300.635512199911,42.423433249015474,31.686052066846177,0.7708938374430238,4.2534343660279035
29,300.835319123064,41.11395987554083,31.840408356098447,0.7717489596616016,4.177265799361598
30,301.032005415450,40.465967975871166,31.785002066009362,0.7725864433939335,4.103771191023084
31,301.225512836455,40.24769346294324,31.738135114713092,0.773406300333994,4.032867802133662
32,301.415784087437,40.21666185536554,31.867891350224024,0.7742085437163235,3.9644760099155576
33,301.602762828698,40.17011484476984,32.271814218168,0.7749931882097756,3.8985192073474217
34,301.786393696184,39.97860551011116,32.97278022831884,0.7757602498104161,3.8349237068117517
35,301.966622317886,39.5944497635577,33.931159447141816,0.7765097457148701,3.7736186509537126
36,302.143395329957,39.03610167532304,35.06912719484744,0.777241694244776,3.71453591515926
37,302.316660392518,38.35875487582936,36.29903216492598,0.7779561147933353,3.657610019958163
38,302.486366205174,37.62478834287579,37.54614177645786,0.7786530277022514,3.6027780478288016
39,302.652462522211,36.884051775260076,38.75973365665779,0.7793324541996944,3.549979557730605
40,302.814900167487,36.16612280417632,39.913442320545926,0.7799944162940416,3.4991565139265393
41,302.973631049003,35.48184577776592,40.99900159209105,0.7806389367999365,3.4502531875134292
42,303.128608173155,34.82902595563331,42.0181760092274,0.7812660389914122,3.4032161237229652
43,303.279785658658,34.1992218577486,42.97595055486639,0.7818757468415564,3.3579940318881643
44,303.427118750142,33.58261220137067,43.87631880279552,0.7824680848561022,3.3145377281801442
45,303.570563831412,32.97072132464095,44.720564501058355,0.7830430780064308,3.2728000701130395
46,303.710078438377,32.35732205650417,45.5072714223318,0.7836007516923875,3.2327358861312074
47,303.845621271630,31.738305341542716,46.23306310151727,0.7841411316488718,3.1943019302747415
48,303.977152208684,31.111161139708496,46.89357652376565,0.7846642439417715,3.157456824861925
49,304.104632315867,30.47444040344893,47.4841451894465,0.785170114823612,3.1221609487755515
50,304.228023859851,29.827504230506868,48.000209918319406,0.785658770749973,3.0883764773657485
51,304.347290318842,29.170274382128152,48.43784174465378,0.7861302384446224,3.056067273133374
52,304.462396393394,28.503109881435265,48.793764057876324,0.7865845447267399,3.0251988127461256
53,304.573308016876,27.826787665191546,49.065370968358174,0.7870217164758716,2.995738155428148
54,304.679992365560,27.142615296205083,49.250660474172825,0.7874417806429617,2.967653991715148
55,304.782417868353,26.452033002621803,49.348821883620715,0.7878447642229439,2.94091645248681
56,304.880554216149,25.75691962335418,49.35954205815054,0.7882306941737629,2.9154971088055355
57,304.974372370812,25.059445414009424,49.28345473694841,0.788599597474896,2.891369044345041
58,305.063844573779,24.3617510931715,49.12228486806641,0.7889515009867408,2.868506664656074
59,305.148944354287,23.66643906894178,48.87811313501693,0.7892864315719077,2.846885718414578
60,305.229646537216,22.975954314638635,48.554193186947195,0.7896044159408839,2.826483307613065
61,305.305927250548,22.292828443398307,48.154416305049544,0.789905480694172,2.807277803884231
62,305.377763932443,21.619588785012454,47.683318422981785,0.7901896522977174,2.789248820597512
63,305.445135337923,20.95875198546251,47.14597817295704,0.7904569570975623,2.7723771886719524
64,305.508021545169,20.312775473788644,46.547963488311616,0.7907074213209202,2.756644949840178
65,305.566403961421,19.683921633800285,45.895331314292406,0.7909410709975823,2.7420353126969927
66,305.620265328490,19.074313065113024,45.19444784010838,0.7911579319929976,2.7285326188058447
67,305.669589727873,18.485931117081265,44.45188905731206,0.7913580300206416,2.716122320865937
68,305.714362585466,17.920627979186424,43.67433844397129,0.7915413906946229,2.704790977593798
69,305.754570675888,17.380012064991867,42.868586899511115,0.791708039422152,2.69452623201471
70,305.790202126394,16.865512772606664,42.041393358374854,0.7918580014484118,2.68531677521157
71,305.821246420398,16.378401359017335,41.199404734137104,0.7919913018796706,2.677152328187145
72,305.847694400587,15.919810378823026,40.34909374704621,0.7921079657598336,2.6700236338713834
73,305.869538271635,15.490693375281962,39.496734900201226,0.7922080179948987,2.6639224548044527
74,305.886771602513,15.091870841893998,38.648337832034095,0.7922914833595067,2.6588415395672524
75,305.899389328395,14.72406913952811,37.80960612637485,0.7923583865533669,2.65477460635252
76,305.907387752157,14.387931920373932,36.98592922713071,0.792408752262571,2.6517163339424923
77,305.910764545475,14.084018012411168,36.18238284254787,0.7924426051822786,2.6496623685383396
78,305.909518749513,13.812859985987492,35.403684821574046,0.7924599699426155,2.648609301938976
79,305.903650775211,13.57499284875418,34.654211463267636,0.7924608712067307,2.648554653427468
80,305.893162403155,13.37096831605149,33.938020021305405,0.7924453337202875,2.649496862570394
81,305.878056783058,13.201331250806769,33.258910086893856,0.7924133824062353,2.6514352963937355
82,305.858338432823,13.066721708318394,32.620363349116886,0.7923650422656429,2.6543702447047663
83,305.834013237205,12.967885320642463,32.02559708802997,0.7923003384755547,2.6583028996347657
84,305.805088446064,12.90568449844418,31.47760579869814,0.7922192964493207,2.6632353507800905
85,305.771572672222,12.881048318691064,30.97925789077241,0.7921219419532741,2.669170589633492
86,305.733475888908,12.895072051743774,30.533250721101048,0.7920083010605586,2.676112520090296
87,305.690809426802,12.949050438084784,30.142134289394985,0.7918784001994472,2.6840659394111532
88,305.643585970678,13.04445329412686,29.808376363850165,0.7917322662465345,2.6930365339553703
89,305.591819555648,13.182876225546387,29.53443785411608,0.791569926623077,2.7030308819680986
90,305.535525562999,13.36602995795905,29.32280290421347,0.7913914093566616,2.7140564718061113
91,305.474720715636,13.595847651688622,29.175893701523083,0.7911967430561134,2.726121691419569
92,305.409423073131,13.874373130241485,29.096151440671893,0.7909859570390532,2.739235821662606
93,305.339652026364,14.203680070762477,29.08606268816064,0.7907590814157195,2.7534090394575745
94,305.265428291785,14.585692107856389,29.148226304681902,0.7905161472140122,2.768652436398697
95,305.186773905268,15.022262805095664,29.2851612751285,0.7902571863515857,2.7849780219800992
96,305.103712215588,15.514937082399337,29.499321805348064,0.7899822317557963,2.8023987131110784
97,305.016267877498,16.064716523179342,29.7930471949282,0.789691317456885,2.8209283381027306
98,304.924466844422,16.671654471640853,30.168553611992806,0.7893844787220616,2.840581651920524
99,304.828336360770,17.334594649783483,30.627681187464898,0.7890617521149447,2.8613743580531596
100,304.727904953860,18.050985026309483,31.171581217109676,0.7887231755034788,2.8833230745173433
101,304.623202425468,18.81607259017057,31.800661721265612,0.788368788271485,2.9064453745930816
102,304.514259842992,19.622521304442152,32.51421630946188,0.7879986313648634,2.930759773960344
103,304.401109530252,20.45985278487435,33.31003884738096,0.7876127474074229,2.9562857492179377
104,304.283785057911,21.313951227895785,34.18403882331031,0.7872111808064739,2.9830437393277234
105,304.162321233521,22.16680685499528,35.12969992502955,0.7867939778487419,3.0110551542864186
106,304.036754091218,22.99636079524585,36.13766765184817,0.7863611868247473,3.0403423842779556
107,303.907120881036,23.77689664702002,37.19526589231539,0.7859128581229029,3.070928801590651
108,303.773460057875,24.479855359265695,38.28610483998436,0.7854490443615356,3.102838775485916
109,303.635811270103,25.075290021449103,39.389899187734194,0.7849698004898737,3.1360976746416838
110,303.494215347808,25.533920494836828,40.482516994029325,0.7844751839100697,3.170731872729864
111,303.348714290699,25.829670909110863,41.53635785422912,0.7839652546072514,3.206768762310733
112,303.199351255660,25.94236335091136,42.52118997859656,0.7834400752494068,3.244236753876265
113,303.046170543963,25.860288936238643,43.40544040256166,0.7828997113340499,3.2831652844713304
114,302.889217588141,25.58203503336534,44.15785152283948,0.7823442313001646,3.3235848276308038
115,302.728538938524,25.117183867857012,44.74947776914763,0.7817737066434614,3.365526890595295
116,302.564182249443,24.485836799267403,45.155812674058744,0.7811882120752874,3.4090240247660133
117,302.396196265115,23.716512361572747,45.358603516396904,0.7805878256043246,3.454109830375027
118,302.224630805194,22.843446925917124,45.34740775943164,0.7799726287090077,3.5008189508441063
119,302.049536750009,21.903004180642807,45.12030581981257,0.7793427064361822,3.549187085266025
120,301.870966025488,20.93049435658153,44.68391334381217,0.7786981475504844,3.599250981979489
121,301.688971587774,19.957358886929885,44.05252275392417,0.7780390446287404,3.6510484421088987
122,301.503607407527,19.009484631795303,43.24671578364461,0.7773654942302685,3.704618317509765
123,301.314928453935,18.106368585556282,42.29146733366141,0.7766775969924239,3.760000503591194
124,301.122990678425,17.261110995114247,41.21418370365343,0.7759754577742761,3.817235944069057
125,300.927850998085,16.481122483764434,40.04282314858497,0.7752591857254535,3.876366619212785
126,300.729567278794,15.769224546555987,38.804387391434325,0.7745288944927755,3.937435534279236
127,300.528198318080,15.124711445774082,37.52370825896115,0.773784702295358,4.0004867198069824
128,300.323803827691,14.54448871489723,36.22271800566255,0.7730267320100216,4.065565214580102
129,300.116444415909,14.024018471601604,34.920082897734815,0.7722551113664422,4.132717046287015
130,299.906181569584,13.558064239931918,33.631108030212,0.7714699729812668,4.201989228191457
131,299.693077635915,13.141266323916781,32.36790385986169,0.770671454500603,4.273429734936196
132,299.477195803980,12.768526567503034,31.1396904783898,0.769859698661813,4.34708748148671
133,299.258600086006,12.435255509421816,29.95316162481171,0.7690348534322178,4.42301230275656
134,299.037355298402,12.1374804076442,28.812892000027055,0.7681970721065327,4.501254919941281
135,298.813527042555,11.87192486314363,27.72172742931645,0.7673465133861606,4.581866921251281
136,298.587181685390,11.635986895285908,26.681152178492884,0.7664833414927064,4.664900727140425
137,298.358386339703,11.42733604772946,25.691531869556233,0.7656077269563951,4.750409456267433
138,298.127208844272,11.245508091548247,24.752785168599388,0.7647198432060852,4.838447305984766
139,297.893717743762,11.089251628708485,23.86398727337241,0.7638198718632934,4.92906888565634
140,297.657982268405,10.957919942042716,23.023888947652157,0.7629080001112672,5.022329519975343
141,297.420072313491,10.85177338786121,22.231180447918767,0.7619844194199635,5.118285309463451
