Time,T,J,A,S,tau
0,283.859059297240,100.0,100.0,0.7788832813152373,10.1010101010101
1,280.717502985097,107.03806984212123,93.67028122934715,0.7773322375366112,10.53231608476776
2,280.518689750851,114.30575546550655,87.78172653453835,0.7757580315344071,10.974596521969545
3,280.321737804392,121.54069287249864,82.30177141957554,0.7741627483326834,11.427432997475263
4,280.126705506835,128.52090387134794,77.19940114866475,0.7725479591514086,11.890541734653018
5,279.933650650458,135.07180604395663,72.44614115960135,0.7709151678206378,12.363644136310812
6,279.742630441581,141.06852145668307,68.01582660175133,0.7692658122947669,12.846466750419205
7,279.553701483615,146.43289026628034,63.88442134596993,0.7676012658633987,13.338741258512183
8,279.366919760287,151.12684561795135,60.02982204165517,0.7659228389447238,13.84020441582243
9,279.182340619053,155.1446643742979,56.431701637800685,0.764231780436603,14.350598024774017
10,279.000018754696,158.50493099317632,53.0713396584903,0.7625292794545524,14.86966887446467
11,278.820008193119,161.24326943041106,49.931494743995295,0.7608164668869297,15.397168692716004
12,278.642362275337,163.40616375590102,46.99627955898347,0.7590944170434263,15.932854087607781
13,278.467133641670,165.04602298443686,44.251047852192116,0.7573641493038739,16.47648648606031
14,278.294374216142,166.2174396182097,41.68229048198528,0.755626629785936,17.027832067627127
15,278.124135191100,166.9744973853737,39.277540624135064,0.7538827730141828,17.586661694846626
16,277.956467012042,167.3689443472104,37.02528759318378,0.7521334435859105,18.152750840445492
17,277.791419362667,167.44904983977912,34.9148973363998,0.7503794578517212,18.725879509468562
18,277.629041150157,167.2589664099351,32.9365410627995,0.7486215854921011,19.30583216781649
19,277.469380490678,166.83847564685354,31.08113431424235,0.7468605512533848,19.892397651539284
20,277.312484695132,166.2229891421618,29.340270231776962,0.7450970365073113,20.48536908902919
21,277.158400255128,165.44371062489654,27.706169939980754,0.7433316808016905,21.084543820883137
22,277.007172829211,160.42652212212965,27.87975136501849,0.7423658290830022,21.45665112400526
23,276.858847229331,154.00403035183845,28.034837320323128,0.741622041278546,21.767302076842366
24,276.713467407565,147.6004699663759,28.247148795539385,0.7408848022557826,22.07885384472181
25,276.571076443091,141.2752110342442,28.450772020151028,0.7401542590019937,22.39117327146583
26,276.431716529426,135.08094484435338,28.595010520758184,0.7394305578847176,22.704123613743942
27,276.295428961918,129.06252216125304,28.64329982857666,0.738713844860777,23.017564515304652
28,276.162254125517,123.25647507122565,28.57168678585585,0.7380042656972544,23.33135198563368
29,276.032231482799,117.69102734695886,28.367056241261984,0.737301966190957,23.64533835969312
30,275.905399562281,112.38658358050567,28.02524820038051,0.7366070924088579,23.959372290199344
31,275.781795946997,107.35629966277166,27.549069953583913,0.7359197909174392,24.273298645928868
32,275.661457263366,102.607148182743,26.94675867952586,0.7352402090513703,24.586958578437724
33,275.544419170337,98.14068099426673,26.23037870587054,0.7345684951744318,24.9001893892513
34,275.430716348824,93.95403832833797,25.414440936602748,0.7339047989276063,25.212824545262492
35,275.320382491425,90.04079273939591,24.514811060054257,0.7332492715152067,25.524693597215215
36,275.213450292445,86.39177349228878,23.54777397064945,0.7326020659743221,25.83562214882231
37,275.109951438202,82.99577623031766,22.529363716359086,0.731963337464269,26.145431797530826
38,275.009916597639,79.8401823437372,21.474837837329726,0.7313332435598153,26.453940078767854
39,274.913375413239,76.91147998734668,20.39833118485917,0.7307119445450898,26.760960414533812
40,274.820356492239,74.1956899998904,19.312630867027995,0.7300996037142953,27.066302055380604
41,274.730887398152,71.67870864405614,18.229053620719828,0.7294963876770892,27.369770020340283
42,274.644994642601,69.34657611383379,17.1574042505976,0.728902466667582,27.671165035594846
43,274.562703677465,67.18568171910911,16.10599123710216,0.7283180148581441,27.970283469588285
44,274.484038887331,65.18291543303903,15.081695462288895,0.7277432106842148,28.266917264182627
45,274.409023582275,63.32577226234781,14.09006527901519,0.7271782371503547,28.560853882079737
46,274.337679990951,61.60242288073746,13.13543285458917,0.7266232821648241,28.851876231928195
47,274.270029254005,60.00175010588582,12.221034234847789,0.7260785388328738,29.13976262802136
48,274.206091417809,58.513369779849235,11.34913890772963,0.7255442058125935,29.4242867020617
49,274.145885428526,57.12762827284353,10.521178513142718,0.7250204876262448,29.705217354994996
50,274.089429126488,55.83558898071464,9.737858034379473,0.724507594986087,29.982318696844647
