Time,J,A,S,tau
0.0,100.0,10.0,0.6195788131142078,18.14412502678508
1.0,95.40682308078975,9.934446494462629,0.6125787982952327,17.76767640055463
2.0,90.8616973853131,9.866417419236011,0.6049680148267084,17.361436083928876
3.0,86.37807688567553,9.795719056015892,0.5967463070088147,16.925287446666125
4.0,81.96586119324756,9.722110059967527,0.5879101998594336,16.458802066271197
5.0,77.6345674660574,9.64534458410876,0.5784592591093938,15.961559413245592
6.0,73.39324802329226,9.565175090790104,0.5683962562859071,15.433147513666626
7.0,69.2504129297342,9.481355112121738,0.5577273954920382,14.873163840179364
8.0,65.21390363419488,9.393641085442676,0.5464626046088706,14.281216355078381
9.0,61.29080341333265,9.30179446302965,0.5346155985681514,13.656923997299826
10.0,57.48739618399386,9.205584848551887,0.5222039598151637,12.999917397567351
11.0,53.80915630405865,9.104793694927746,0.5092492642686743,12.309839922121357
12.0,50.27497537794347,8.984903298972226,0.4974275467688714,11.697211504163858
13.0,46.91250580167233,8.82080312200802,0.4907257605049374,11.432603300721599
14.0,43.67354814994661,8.662687052755341,0.48407159370908026,11.177312673565712
15.0,40.559585084601736,8.51083073659518,0.47746882520247674,10.931003682100407
16.0,37.57216014583274,8.365191763761857,0.47092313060010554,10.693284635751253
17.0,34.71348572427037,8.224417195367652,0.46428505511211304,10.469328238123238
18.0,31.987649183409467,8.084507485472411,0.457077147909117,10.275039695663585
19.0,29.395540736008698,7.94432168241807,0.4492876861229733,10.108834154611158
20.0,26.937668014388713,7.8026316728371565,0.4409128610628553,9.969160211440188
21.0,24.614105622780972,7.658177699195689,0.4319543497184987,9.8545843063149
22.0,22.424410355168288,7.50978422263466,0.42241955409190207,9.763780023353336
23.0,20.367485615156742,7.356502052078464,0.41232172909091785,9.695517588698607
24.0,18.442173425772474,7.1971810232300575,0.40168015383149075,9.64865677784729
25.0,16.646577110741987,7.030946308986281,0.3905200359703564,9.6221368795594
26.0,14.978222166895437,6.857173387602013,0.3788558144566587,9.615471454379517
27.0,13.431588400629312,6.677874640300379,0.3671235330925282,9.615471454379517
28.0,12.00225705686794,6.493986509938706,0.3555538144688828,9.615471454379517
29.0,10.68670122824835,6.3053954775751135,0.3441607605070116,9.615471454379517
30.0,9.480872818249171,6.112175492677876,0.33295774206064976,9.615471454379517
31.0,8.380347907201418,5.914574180615645,0.32195734873517234,9.615471454379517
32.0,7.380227431539274,5.712995294259828,0.3111713263472457,9.615471454379517
33.0,6.47534823512952,5.507979871779814,0.30061054171721324,9.615471454379517
34.0,5.660322187471994,5.300181202297405,0.2902849464363675,9.615471454379517
35.0,4.929532721207054,5.090341946997709,0.28020353706352213,9.615471454379517
36.0,4.277277160490696,4.879270813873435,0.2703743477538299,9.615471454379517
