period,yr,month,days,total_days,model,emissions,Tmin,Tmax,Tave,T_K,Prec_mm,Tmin_rollMean,Tmin_rollSD,Tmax_rollMean,Tmax_rollSD
historical,1962,9,615,615,CGCM3.1 (T47),High (A2),16.3570049,26.0403327,21.1986688,294.3486688,,-2.672116992,2.714371898,5.35762752,2.37620517
historical,1962,10,645,645,CGCM3.1 (T47),High (A2),14.2576285,22.0404235,18.149026,291.299026,,-2.530467559,2.618398185,5.4657793,2.31593093
historical,1962,11,675,675,CGCM3.1 (T47),High (A2),5.81428464,14.2270126,10.02064862,283.1706486,,-2.196964984,2.744495443,5.88335025,2.39592307
historical,1962,12,705,705,CGCM3.1 (T47),High (A2),0.59744627,8.93722755,4.76733691,277.9173369,,-2.416499402,2.575087963,5.7560855,2.30263457
historical,1963,1,735,735,CGCM3.1 (T47),High (A2),1.05529234,9.425456851,5.240374595,278.3903746,,-2.154703382,2.749705693,5.91055389,2.33801827
historical,1963,2,765,765,CGCM3.1 (T47),High (A2),2.67738075,11.109012,6.893196375,280.0431964,,-2.591623371,2.463284067,5.53237265,2.07982316
historical,1963,3,795,795,CGCM3.1 (T47),High (A2),3.14542344,12.61257585,7.878999644,281.0289996,,-2.636676697,2.6083336,5.40117075,2.1616465
historical,1963,4,825,825,CGCM3.1 (T47),High (A2),6.53550878,15.3187997,10.92715424,284.0771542,,-2.295899093,2.565315864,5.57404388,2.24340291
historical,1963,5,855,855,CGCM3.1 (T47),High (A2),12.5581194,23.6245649,18.09134215,291.2413422,,-1.819224928,2.357318245,6.04749344,1.94410841
historical,1963,6,885,885,CGCM3.1 (T47),High (A2),19.4404247,27.5073516,23.47388815,296.6238882,,-1.675212571,2.548357681,6.06795588,2.12883814
historical,1963,7,915,915,CGCM3.1 (T47),High (A2),22.254746,29.7528617,26.00380385,299.1538039,,-0.2468793,2.53590513,7.97780169,2.41785777
historical,1963,8,945,945,CGCM3.1 (T47),High (A2),21.9931721,29.8547955,25.9239838,299.0739838,,-0.3244629,2.32403678,7.79453346,2.25982467
historical,1963,9,975,975,CGCM3.1 (T47),High (A2),18.3496555,27.7999827,23.0748191,296.2248191,,-0.278729,2.15552483,7.81165824,2.0927517
historical,1963,10,1005,1005,CGCM3.1 (T47),High (A2),14.8215042,24.0009673,19.41123575,292.5612358,,-0.6186156,2.25947074,7.5291412,2.13319041
historical,1963,11,1035,1035,CGCM3.1 (T47),High (A2),4.13667068,15.0731681,9.60491939,282.7549194,,-0.5700501,2.13577826,7.63544065,2.03908945
historical,1963,12,1065,1065,CGCM3.1 (T47),High (A2),-0.4375184,9.18244047,4.372461035,277.522461,,-0.8761817,2.26633537,7.28746317,2.25256938
historical,1964,1,1095,1095,CGCM3.1 (T47),High (A2),1.38098539,8.837718122,5.109351756,278.2593518,,-1.3503488,2.77190459,6.73597997,2.79685419
historical,1964,2,1125,1125,CGCM3.1 (T47),High (A2),1.9660817,10.4889266,6.22750415,279.3775042,,-1.1469876,2.60864327,6.82063291,2.74471732
historical,1964,3,1155,1155,CGCM3.1 (T47),High (A2),2.57928265,11.63690349,7.108093069,280.2580931,,-1.4170359,2.30978904,6.44031665,2.35296612
historical,1964,4,1185,1185,CGCM3.1 (T47),High (A2),7.2163052,16.9154244,12.0658648,285.2158648,,-1.7447803,2.01924502,6.0771752,1.9371522
historical,1964,5,1215,1215,CGCM3.1 (T47),High (A2),12.7106433,21.5368937,17.1237685,290.2737685,,-1.6013189,2.10941114,6.29443525,2.11602839
historical,1964,6,1245,1245,CGCM3.1 (T47),High (A2),17.5431114,26.8739276,22.2085195,295.3585195,,-1.6361117,2.07533578,6.37473824,2.17072589
historical,1964,7,1275,1275,CGCM3.1 (T47),High (A2),23.6378279,30.4137229,27.0257754,300.1757754,,-1.298003,2.4887562,6.73931296,2.53592636
historical,1964,8,1305,1305,CGCM3.1 (T47),High (A2),22.2464259,29.6341206,25.94027325,299.0902733,,-1.4390624,2.44890223,6.59340249,2.50647266
historical,1964,9,1335,1335,CGCM3.1 (T47),High (A2),19.0376125,28.6551583,23.8463854,296.9963854,,-0.8722133,2.67654202,6.94604026,2.57348419
historical,1964,10,1365,1365,CGCM3.1 (T47),High (A2),14.7389329,23.3816403,19.0602866,292.2102866,,-0.9815093,2.66786895,6.82956209,2.51996914
historical,1964,11,1395,1395,CGCM3.1 (T47),High (A2),5.47055771,13.6402106,9.555384155,282.7053842,,-0.6963403,2.4814423,7.06559685,2.32247563
historical,1964,12,1425,1425,CGCM3.1 (T47),High (A2),1.05534648,8.55423015,4.804788315,277.9547883,,-0.7399927,2.58911273,6.98606574,2.52981186
historical,1965,1,1455,1455,CGCM3.1 (T47),High (A2),-3.1380534,4.767482136,0.814714368,273.9647144,,-0.6203077,2.55042207,7.04136496,2.505238
historical,1965,2,1485,1485,CGCM3.1 (T47),High (A2),-1.282597,6.50773646,2.61256973,275.7625697,,-0.484726,2.60853281,7.2778111,2.61360639
historical,1965,3,1515,1515,CGCM3.1 (T47),High (A2),1.61175695,10.94843038,6.280093664,279.4300937,,-0.6452295,2.73778003,7.05936309,2.78071276
historical,1965,4,1545,1545,CGCM3.1 (T47),High (A2),5.46707207,16.8205008,11.14378644,284.2937864,,-0.6892713,2.72500073,6.90701749,2.71506195
historical,1965,5,1575,1575,CGCM3.1 (T47),High (A2),13.3026366,22.1002679,17.70145225,290.8514523,,-0.4169799,2.94716203,7.26109469,3.11169384
historical,1965,6,1605,1605,CGCM3.1 (T47),High (A2),18.0071316,27.1414126,22.5742721,295.7242721,,-0.6875298,2.73847345,6.97442311,2.9007717
historical,1965,7,1635,1635,CGCM3.1 (T47),High (A2),21.7383454,27.8471207,24.79273305,297.9427331,,-0.2563213,2.96042413,7.4706728,3.2273869
historical,1965,8,1665,1665,CGCM3.1 (T47),High (A2),23.5540335,29.3792566,26.46664505,299.6166451,,-0.5717165,2.91926467,7.30293804,3.35104324
historical,1965,9,1695,1695,CGCM3.1 (T47),High (A2),17.1667789,25.4052021,21.2859905,294.4359905,,-0.4868831,3.08324612,7.30205607,3.55431687
historical,1965,10,1725,1725,CGCM3.1 (T47),High (A2),10.3680372,19.6292267,14.99863195,288.148632,,-0.4476636,3.29372791,7.41430423,3.78263273
historical,1965,11,1755,1755,CGCM3.1 (T47),High (A2),6.13564825,15.0456427,10.59064548,283.7406455,,0.43740361,2.31204249,8.35370658,2.90801975
historical,1965,12,1785,1785,CGCM3.1 (T47),High (A2),0.36651251,8.60860537,4.48755894,277.6375589,,0.63981947,2.46383487,8.69585315,3.02730156
historical,1966,1,1815,1815,CGCM3.1 (T47),High (A2),-2.7521396,5.394746412,1.321303406,274.4713034,,2.93140152,0.91580329,11.8710752,0.95125455
historical,1966,2,1845,1845,CGCM3.1 (T47),High (A2),0.43557979,7.22013653,3.82785816,276.9778582,,2.6888756,1.05387135,11.5565157,1.20279037
historical,1966,3,1875,1875,CGCM3.1 (T47),High (A2),3.98613897,11.86979675,7.92796786,281.0779679,,2.73735739,0.9852843,11.4646411,1.14348599
historical,1966,4,1905,1905,CGCM3.1 (T47),High (A2),7.37836242,18.3717159,12.87503916,286.0250392,,2.4507566,1.26043529,11.1828689,1.36333244
historical,1966,5,1935,1935,CGCM3.1 (T47),High (A2),12.2107638,21.6609706,16.9358672,290.0858672,,2.62406016,1.30863152,11.1423466,1.29173389
historical,1966,6,1965,1965,CGCM3.1 (T47),High (A2),18.8174448,27.5795749,23.19850985,296.3485099,,2.37606977,1.48921333,10.9158578,1.43735434
historical,1966,7,1995,1995,CGCM3.1 (T47),High (A2),22.0906824,28.6099752,25.3503288,298.5003288,,2.10198146,1.46386478,10.6068002,1.22285333
historical,1966,8,2025,2025,CGCM3.1 (T47),High (A2),21.5315341,29.2333495,25.3824418,298.5324418,,2.31182959,1.6621212,10.8144568,1.44382491
historical,1966,9,2055,2055,CGCM3.1 (T47),High (A2),17.6184509,26.6210616,22.11975625,295.2697563,,2.12369808,1.67539828,10.5415421,1.35067544
historical,1966,10,2085,2085,CGCM3.1 (T47),High (A2),12.2133348,22.4497675,17.33155115,290.4815512,,2.09955032,1.67008104,10.4991784,1.31984007
historical,1966,11,2115,2115,CGCM3.1 (T47),High (A2),6.53598621,16.2023158,11.36915101,284.519151,,2.27025169,1.71070507,10.6402576,1.44925868
historical,1966,12,2145,2145,CGCM3.1 (T47),High (A2),1.2859977,8.40062857,4.843313135,277.9933131,,1.9573294,1.67999082,10.3839153,1.45937429
historical,1967,1,2175,2175,CGCM3.1 (T47),High (A2),-0.6978537,7.619712539,3.460929419,276.6109294,,2.22307604,1.78217574,10.6115375,1.53028621
historical,1967,2,2205,2205,CGCM3.1 (T47),High (A2),-0.7899649,6.69492408,2.95247959,276.1024796,,2.21647827,1.77883061,10.8111671,1.69480627
historical,1967,3,2235,2235,CGCM3.1 (T47),High (A2),1.23372008,9.66915886,5.45143947,278.6014395,,2.79475722,2.0551941,11.2229764,1.74136088
historical,1967,4,2265,2265,CGCM3.1 (T47),High (A2),9.49681853,19.418363,14.45759077,287.6075908,,2.91576938,2.18052847,11.5660402,1.99771098
historical,1967,5,2295,2295,CGCM3.1 (T47),High (A2),14.748778,24.2506382,19.4997081,292.6497081,,3.11709997,1.96548052,11.7387284,1.79203975
historical,1967,6,2325,2325,CGCM3.1 (T47),High (A2),18.2998797,26.86536,22.58261985,295.7326199,,2.9072321,2.32200813,11.4809277,2.23269188
historical,1967,7,2355,2355,CGCM3.1 (T47),High (A2),24.2137467,30.3208347,27.2672907,300.4172907,,2.9839569,2.39993188,11.5033028,2.25215796
historical,1967,8,2385,2385,CGCM3.1 (T47),High (A2),22.9422794,30.4354126,26.688846,299.838846,,3.51877807,2.58091103,12.1275245,2.59981797
historical,1967,9,2415,2415,CGCM3.1 (T47),High (A2),18.9492612,24.9343888,21.941825,295.091825,,3.69979198,2.55765755,12.1969008,2.58185788
historical,1967,10,2445,2445,CGCM3.1 (T47),High (A2),11.832321,19.3726349,15.60247795,288.752478,,3.60984531,2.58306509,12.1749701,2.58004696
historical,1967,11,2475,2475,CGCM3.1 (T47),High (A2),6.39523671,15.7131414,11.05418906,284.2041891,,4.23823426,2.60334799,12.8119188,2.59623714
