Species,Latitude,Habitat,subfamily,rMax,TPC historical,TPC future,Model historical,Model future,r.TPC.h,r.TPC.f,r.model.h,r.model.f,delta.TPC,delta.model,delta.prop.TPC,delta.prop.model,Notes
Clavigralla shadabi Benin,6.45,Tropical,Heteroptera,0.134,0.113,0.079,0.109,0.063,0.843,0.590,0.813,0.470,-0.254,-0.343,-0.301,-0.422,
Clavigralla tomentosicollis Benin,6.45,Tropical,Heteroptera,0.154,0.120,0.151,0.109,0.143,0.779,0.981,0.708,0.929,0.201,0.221,0.258,0.312,
Clavigralla tomentosicollis Nigeria,7.45,Tropical,Heteroptera,0.088,0.120,0.137,0.133,0.150,1.364,1.557,1.511,1.705,0.193,0.193,0.142,0.128,
Clavigralla tomentosicollis Burkina Faso,12.38,Tropical,Heteroptera,0.088,0.079,0.093,0.197,0.099,0.898,1.057,2.239,1.125,0.159,-1.114,0.177,-0.497,
Apolygus lucorum China Dafeng,33.33,Temperate,Heteroptera,0.165,0.102,0.052,0.102,0.055,0.618,0.315,0.618,0.333,-0.303,-0.285,-0.490,-0.461,Including overwintering
Adelphocoris suturalis China Dafeng,33.33,Temperate,Heteroptera,0.083,0.049,0.053,0.090,0.064,0.590,0.639,1.084,0.771,0.048,-0.313,0.082,-0.289,Including overwintering
Apolygus lucorum China Langfang,39.88,Temperate,Heteroptera,0.165,0.104,0.103,0.159,0.220,0.630,0.624,0.964,1.333,-0.006,0.370,-0.010,0.384,Including overwintering
Adelphocoris suturalis China Xinxiang,35.53,Temperate,Heteroptera,0.083,0.050,0.050,0.100,0.092,0.602,0.602,1.205,1.108,0.000,-0.096,0.000,-0.080,Including overwintering
Macrosiphum euphorbiae Brazil,21.23,Tropical,Sternorrhyncha,0.246,0.199,0.195,0.440,0.420,0.809,0.793,1.789,1.707,-0.016,-0.081,-0.020,-0.045,
Aulacorthum solani Brazil,21.23,Tropical,Sternorrhyncha,0.257,0.185,0.158,0.373,0.385,0.720,0.615,1.451,1.498,-0.105,0.047,-0.146,0.032,
Uroleucon ambrosiae Brazil,21.23,Tropical,Sternorrhyncha,0.249,0.183,0.156,0.792,0.566,0.735,0.627,3.181,2.273,-0.108,-0.908,-0.148,-0.285,
Macrolophus pygmaeus on Myzus persicae Greece,38.38,Mediterranean,Heteroptera,0.100,0.061,0.025,0.074,0.079,0.610,0.250,0.740,0.790,-0.360,0.050,-0.590,0.068,Including overwintering
Macrolophus pygmaeus on Trialeurodes vaporariorum Greece,38.38,Mediterranean,Heteroptera,0.104,0.059,-0.015,0.078,0.082,0.567,-0.144,0.750,0.788,-0.712,0.038,-1.254,0.051,Including overwintering
Toxoptera citricidus on C. unshiu Japan Chiba,35.38,Subtropical,Sternorrhyncha,0.484,0.234,0.196,0.132,0.089,0.483,0.405,0.273,0.184,-0.079,-0.089,-0.162,-0.326,Including overwintering
Toxoptera citricidus on C. aurantium Japan Chiba,35.38,Subtropical,Sternorrhyncha,0.436,0.240,0.221,0.108,0.078,0.550,0.507,0.248,0.179,-0.044,-0.069,-0.079,-0.278,Including overwintering
Acyrthosiphon pisum UK Sand Hutton,54.02,Temperate,Sternorrhyncha,0.286,0.120,0.154,0.155,0.116,0.420,0.538,0.542,0.406,0.119,-0.136,0.283,-0.252,Including overwintering
Bemisia argentifollii US Homestead,25.47,Subtropical,Sternorrhyncha,0.194,0.144,0.174,0.090,0.102,0.742,0.897,0.464,0.526,0.155,0.062,0.208,0.133,Including overwintering
Rhopalosiphum rufiabdominalis US Weston,26.14,Subtropical,Sternorrhyncha,0.443,0.345,0.319,0.186,0.102,0.779,0.720,0.420,0.230,-0.059,-0.190,-0.075,-0.452,Including overwintering
Aphis nasturtii US Weston,26.14,Subtropical,Sternorrhyncha,0.306,0.247,0.270,0.184,0.197,0.807,0.882,0.601,0.644,0.075,0.042,0.093,0.071,Including overwintering
Diaphorina citri US Weston,26.24,Subtropical,Sternorrhyncha,0.199,0.119,0.118,0.105,0.106,0.598,0.593,0.528,0.533,-0.005,0.005,-0.008,0.010,Including overwintering
Eriosoma lanigerum Australia Yathroo,30.9,Subtropical,Sternorrhyncha,0.204,0.112,0.077,0.083,0.090,0.549,0.377,0.407,0.441,-0.172,0.034,-0.313,0.084,Including overwintering
Macrosiphum euphorbiae Canada,42.81,Temperate,Sternorrhyncha,1.49,1.00,0.562,1.910,0.255,0.671,0.377,1.282,0.171,-0.294,-1.111,-0.438,-0.866,Including overwintering
Myzus persicae Canada,42.81,Temperate,Sternorrhyncha,3.42,1.67,0.904,0.866,0.027,0.488,0.264,0.253,0.008,-0.224,-0.245,-0.459,-0.969,Including overwintering
Hyperomyzus lactucae Australia Acton,35.27,Subtropical,Sternorrhyncha,0.332,0.222,0.206,0.170,0.189,0.669,0.620,0.512,0.569,-0.048,0.057,-0.072,0.112,Including overwintering
Aphis gossypii China Henan,36.07,Temperate,Sternorrhyncha,0.397,0.220,0.206,0.220,0.208,0.554,0.519,0.554,0.524,-0.035,-0.030,-0.064,-0.055,Including overwintering
Aulacorthum solani US Ithaca,42.42,Temperate,Sternorrhyncha,0.464,0.239,0.044,0.228,0.058,0.515,0.095,0.491,0.125,-0.420,-0.366,-0.816,-0.746,Including overwintering
