month,yr,days,Tmin,Tmax,Tave,T_K,Prec_mm
2,1967,2205,16.9240927,32.3306005,24.6273466,297.7773466,26.9264915
3,1967,2235,22.0459235,34.1675193,28.1067214,301.2567214,73.2436765
4,1967,2265,22.987284,34.4773007,28.73229235,301.8822924,33.2142066
5,1967,2295,23.2644897,32.8056192,28.03505445,301.1850545,51.3916429
6,1967,2325,21.7195606,31.1875449,26.45355275,299.6035528,31.2694408
7,1967,2355,21.3835536,29.8700982,25.6268259,298.7768259,19.0646461
8,1967,2385,21.1076723,29.151564,25.12961815,298.2796182,1.52549027
9,1967,2415,21.2403921,29.706226,25.47330905,298.6233091,4.81943882
10,1967,2445,20.3512283,30.472743,25.41198565,298.5619857,9.18596727
11,1967,2475,16.5286759,30.8121578,23.67041685,296.8204169,39.1584535
12,1967,2505,18.0894816,32.0551797,25.07233065,298.2223307,11.4072818
1,1968,2535,18.17880214,33.238033,25.70841757,298.8584176,33.5653189
2,1968,2565,17.8619484,33.5746003,25.71827435,298.8682744,29.4025868
3,1968,2595,22.2121723,35.1715844,28.69187835,301.8418784,23.7780834
4,1968,2625,23.4553345,37.3005526,30.37794355,303.5279436,5.08141327
5,1968,2655,23.0887971,32.8952837,27.9920404,301.1420404,66.0912517
6,1968,2685,22.569246,32.7079312,27.6385886,300.7885886,6.89785265
7,1968,2715,21.8505124,29.536179,25.6933457,298.8433457,32.4288393
8,1968,2745,21.1232063,28.3243632,24.72378475,297.8737848,130.579929
9,1968,2775,21.3863603,29.5161417,25.451251,298.601251,72.2839537
10,1968,2805,19.56006,31.0723324,25.3161962,298.4661962,98.3414877
11,1968,2835,17.1456341,31.3309094,24.23827175,297.3882718,111.985606
12,1968,2865,14.7612191,30.0517078,22.40646345,295.5564635,44.1593409
1,1969,2895,17.41737816,32.7448941,25.08113613,298.2311361,128.584378
2,1969,2925,21.4941813,34.3935844,27.94388285,301.0938829,33.605241
3,1969,2955,22.3838884,35.1625698,28.7732291,301.9232291,101.508987
4,1969,2985,23.9551169,34.7715039,29.3633104,302.5133104,23.2327911
5,1969,3015,22.375961,34.1987902,28.2873756,301.4373756,29.8343162
6,1969,3045,22.2459829,34.6421066,28.44404475,301.5940448,39.6517057
7,1969,3075,21.3507665,29.9176781,25.6342223,298.7842223,28.7396954
8,1969,3105,21.0121746,28.4377839,24.72497925,297.8749793,77.4139193
9,1969,3135,21.1673303,29.8714072,25.51936875,298.6693688,68.8890877
10,1969,3165,20.6709094,32.1043748,26.3876421,299.5376421,155.215627
11,1969,3195,18.4636207,32.6222756,25.54294815,298.6929482,53.5928843
12,1969,3225,17.3902055,32.8938646,25.14203505,298.2920351,154.390321
1,1970,3255,17.02341832,33.0497816,25.03659996,298.1866,87.8907686
2,1970,3285,17.2271677,33.3410038,25.28408575,298.4340858,49.0174291
3,1970,3315,21.7189572,36.619353,29.1691551,302.3191551,94.1481152
4,1970,3345,22.5594264,36.8830616,29.721244,302.871244,31.121241
5,1970,3375,23.6385477,34.7912054,29.21487655,302.3648766,156.533677
6,1970,3405,22.5367002,31.7913493,27.16402475,300.3140248,77.0264684
7,1970,3435,21.4278204,29.9670416,25.697431,298.847431,39.6247127
8,1970,3465,21.1968049,28.7513592,24.97408205,298.1240821,243.120977
9,1970,3495,21.3882406,29.5278735,25.45805705,298.6080571,9.81010918
10,1970,3525,20.3250275,32.0137649,26.1693962,299.3193962,41.3620004
11,1970,3555,18.5201212,31.8062178,25.1631695,298.3131695,42.5026436
12,1970,3585,16.8680449,31.4334284,24.15073665,297.3007367,30.5702233
