period,yr,month,days,total_days,model,emissions,Tmin,Tmax,Tave,T_K,Prec_mm,Tmin_rollMean,Tmin_rollSD,Tmax_rollMean,Tmax_rollSD,degree_days,DD_rollMean,DD_rollSD
historical,1961,1,15,15,CGCM3.1 (T47),High (A2),20.2922745,30.2803383,25.2863064,298.4363064,,20.3454809,0.64992639,31.272754,0.61354449,,,
historical,1961,2,45,45,CGCM3.1 (T47),High (A2),21.2137794,31.6195374,26.4166584,299.5666584,,21.6836011,0.77241441,33.0208375,1.15105821,,,
historical,1961,3,75,75,CGCM3.1 (T47),High (A2),23.5685921,33.078392,28.32349205,301.4734921,,22.9802494,0.7004989,32.7884258,1.45061352,,,
historical,1961,4,105,105,CGCM3.1 (T47),High (A2),22.8838692,32.2002373,27.54205325,300.6920533,,23.557512,0.43930584,31.5911344,0.57403019,,,
historical,1961,5,135,135,CGCM3.1 (T47),High (A2),23.2605419,30.7753296,27.01793575,300.1679358,,22.8593292,0.33233566,30.1018372,0.52909781,,,
historical,1961,6,165,165,CGCM3.1 (T47),High (A2),22.3557549,29.4636173,25.9096861,299.0596861,,22.2314994,0.14847494,29.3861586,0.384133,,,
historical,1961,7,195,195,CGCM3.1 (T47),High (A2),21.9857464,28.4987183,25.24223235,298.3922324,,21.8322576,0.14686061,28.3752356,0.32061066,,,
historical,1961,8,225,225,CGCM3.1 (T47),High (A2),21.7709427,28.0201149,24.8955288,298.0455288,,21.6757851,0.2653347,28.1004257,0.47845018,,,
historical,1961,9,255,255,CGCM3.1 (T47),High (A2),22.2295017,29.3108082,25.77015495,298.920155,,21.7228587,0.34474474,28.6817961,0.42486252,,,
historical,1961,10,285,285,CGCM3.1 (T47),High (A2),22.061512,29.6102581,25.83588505,298.9858851,,21.8201176,0.40366081,29.9445311,0.80410347,,,
historical,1961,11,315,315,CGCM3.1 (T47),High (A2),22.3293972,30.6937027,26.51154995,299.66155,,21.7236795,0.45157034,31.3546162,1.33777602,,,
historical,1961,12,345,345,CGCM3.1 (T47),High (A2),21.648756,32.0614891,26.85512255,300.0051226,,21.1183221,0.83225472,31.7126929,0.55590915,,,
historical,1962,1,375,375,CGCM3.1 (T47),High (A2),21.1379929,30.9555244,26.04675865,299.1967587,,20.5211353,0.75364773,31.3057431,0.56684681,,,
historical,1962,2,405,405,CGCM3.1 (T47),High (A2),20.6857491,34.0248642,27.35530665,300.5053067,,21.7245947,0.71340733,32.9094399,1.09131957,,,
historical,1962,3,435,435,CGCM3.1 (T47),High (A2),21.8192215,34.6856079,28.2524147,301.4024147,,23.0348783,0.65559578,32.7112195,1.33988505,,,
historical,1962,4,465,465,CGCM3.1 (T47),High (A2),24.196003,31.0807915,27.63839725,300.7883973,,23.5033496,0.4258634,31.3484669,0.82873692,,,
historical,1962,5,495,495,CGCM3.1 (T47),High (A2),22.8972855,30.2689629,26.5831242,299.7331242,,22.8637055,0.30360043,29.9902853,0.56603335,,,
historical,1962,6,525,525,CGCM3.1 (T47),High (A2),22.1396255,28.9395523,25.5395889,298.6895889,,22.2316619,0.13553914,29.4261208,0.36625665,,,
historical,1962,7,555,555,CGCM3.1 (T47),High (A2),21.8815784,27.9862728,24.9339256,298.0839256,,21.8621183,0.15561171,28.4163617,0.31224803,,,
historical,1962,8,585,585,CGCM3.1 (T47),High (A2),21.7754688,28.2291546,25.0023117,298.1523117,,21.7103007,0.25885916,28.1023325,0.4367924,,,
historical,1962,9,615,615,CGCM3.1 (T47),High (A2),21.6521969,29.0860844,25.36914065,298.5191407,,21.7121686,0.31597585,28.6697944,0.38914233,,,
historical,1962,10,645,645,CGCM3.1 (T47),High (A2),22.2447491,29.8539906,26.04936985,299.1993699,,21.8619456,0.38474936,29.7117928,0.95811717,,,
historical,1962,11,675,675,CGCM3.1 (T47),High (A2),21.0722771,32.7814178,26.92684745,300.0768475,,21.6004241,0.52561694,31.3720646,1.22208907,,,
historical,1962,12,705,705,CGCM3.1 (T47),High (A2),21.4645538,31.3558178,26.4101858,299.5601858,,21.3039586,0.90467295,31.4804287,0.7969666,,,
historical,1963,1,735,735,CGCM3.1 (T47),High (A2),20.5210285,31.9276085,26.2243185,299.3743185,,20.9098277,1.30211302,31.356529,0.54410183,,,
historical,1963,2,765,765,CGCM3.1 (T47),High (A2),22.3499012,31.9758511,27.16287615,300.3128762,,21.7781916,0.6776606,32.9840105,1.03214572,,,
historical,1963,3,795,795,CGCM3.1 (T47),High (A2),23.0184689,31.6292362,27.32385255,300.4738526,,23.1331913,0.66762909,32.6208844,1.26653271,,,
historical,1963,4,825,825,CGCM3.1 (T47),High (A2),23.6532516,31.4411755,27.54721355,300.6972136,,23.5487747,0.41467899,31.5305836,0.92413309,,,
historical,1963,5,855,855,CGCM3.1 (T47),High (A2),23.161478,30.5468712,26.8541746,300.0041746,,22.8828337,0.28623894,29.9773397,0.52532269,,,
historical,1963,6,885,885,CGCM3.1 (T47),High (A2),22.3267345,29.6420155,25.984375,299.134375,,22.2465961,0.13240349,29.4128735,0.34115163,,,
historical,1963,7,915,915,CGCM3.1 (T47),High (A2),21.6257629,28.9337215,25.2797422,298.4297422,,21.8796356,0.1523501,28.3438563,0.35443846,,,
historical,1963,8,945,945,CGCM3.1 (T47),High (A2),21.8543301,28.2864285,25.0703793,298.2203793,,21.7535675,0.26909398,28.116955,0.40650064,,,
historical,1963,9,975,975,CGCM3.1 (T47),High (A2),21.8854523,28.4473743,25.1664133,298.3164133,,21.7336795,0.29879684,28.7204218,0.38769027,,,
historical,1963,10,1005,1005,CGCM3.1 (T47),High (A2),22.1770058,30.0944309,26.13571835,299.2857184,,21.8174143,0.37782127,29.7573729,0.89636355,,,
historical,1963,11,1035,1035,CGCM3.1 (T47),High (A2),21.3764668,31.8808937,26.62868025,299.7786803,,21.6341684,0.49589817,31.3239563,1.13958748,,,
