Species,TPC.h,TPC.f,Model.h,Model.f,max.h,max.f
Clavigralla shadabi Benin,0.1273183788259568,0.08255351841771054,0.12038421792211997,0.07604891426423135,0.12663365543309466,0.10765084803844464
Clavigralla tomentosicollis Benin,0.12525969272089116,0.15241110111754247,0.11596460374627703,0.14839017736941473,0.13206162661872745,0.15710431410527245
Clavigralla tomentosicollis Nigeria,0.07851061143526156,0.086862101687715,0.15893208982440551,0.19348343021677078,0.18165243901009784,0.20334092401802994
Clavigralla tomentosicollis Burkina Faso,0.08142448138849559,0.08212594235618961,0.09081827016264664,0.0494244622394439,0.10366648833933217,0.0914352358415853
Apolygus lucorum China Dafeng,0.1043029411027383,0.10871623810685281,0.12217490459325285,0.10082707322862512,0.6992847773015141,0.10563026965879599
Adelphocoris suturalis China Dafeng,0.05234827868907994,0.062759357974109,0.11939899377979468,0.08468278910684879,0.6030915979344316,0.0963620322408162
Apolygus lucorum China Langfang,0.10529814594168636,0.11626291620993374,0.1869266321597171,0.24501068445337762,0.6384859435751857,0.740061464189584
Adelphocoris suturalis China Xinxiang,0.05377399747038722,0.054440362867779576,0.1377487436649572,0.11792383285728902,0.6780146202128013,0.7591888925144797
Macrosiphum euphorbiae Brazil,0.18755553402969163,0.08956359904551746,0.6564095390083042,0.5911458614044649,0.6931471805599453,0.682198166070275
Aulacorthum solani Brazil,0.14664638281576456,-0.02643603736687912,0.686857666974408,0.5511009135895311,0.7259370033829363,0.7030975114131134
Uroleucon ambrosiae Brazil,0.23084497902259254,0.19656570850773125,0.7303670086728759,0.5577203430560496,0.7848448457406537,0.7774542870199393
Macrolophus pygmaeus on Myzus persicae Greece,0.06997711537876676,0.09128485515456482,0.08422840347384664,0.05874831041907026,0.4057465774476147,0.8267296257648149
Macrolophus pygmaeus on Trialeurodes vaporariorum Greece,0.06892045105914321,0.09285699998323739,0.08758480137204838,0.05976768004428833,0.44737849534727525,0.6293964051369547
Acyrthosiphon pisum UK Sand Hutton,0.12371618632701498,0.154190108826368,0.27898550242516873,0.16311522763318134,0.5294431827820613,0.35986416018838496
Bemisia argentifollii US Homestead,0.16060537206138067,0.17517507209229877,0.10861435612953553,0.10224855075163065,0.13645920622104302,0.11709559251896426
Rhopalosiphum rufiabdominalis US Weston,0.4074171679545233,0.378046295552857,0.2634900625954412,0.12967835090687982,0.28768207245178085,2.777532415804605
Aphis nasturtii US Weston,0.2698687656189715,0.27171290275747834,0.21478009029256984,0.19880328361655838,0.2468600779315258,0.22314355131420976
Diaphorina citri US Weston,0.15799001397439444,0.12305557171434309,0.13571375287857584,0.10310506328277927,0.18834811483587535,0.20542530648650523
Eriosoma lanigerum Australia Yathroo,0.14162725034698528,0.10662771886921782,0.13678246856227466,0.0925116893681691,0.1836059946103888,0.17419227864462827
Macrosiphum euphorbiae Canada,1.0764764792036103,0.5923438280891914,1.5348857859122473,-0.275293270406677,2.6753994313281813,1.8142856143609873
Myzus persicae Canada,1.85236602696273,0.9784522822671928,0.7232498901920165,0.12017438548120032,1.474211125224333,1.5641805751220526
Hyperomyzus lactucae Australia Acton,0.18836463447604332,0.2524181923849469,0.16610628680722075,0.24560271036432144,0.3841980142972104,0.39696475334277176
Aphis gossypii China Henan,0.24932330625877341,0.23971513488803692,0.22804623532638346,0.23414782298617345,0.6636786478309199,0.7100025111778118
Aulacorthum solani US Ithaca,0.2577073058232066,0.045339396403023424,0.3119214961458553,-0.01416560228192986,0.7364604431149699,0.15930866216728226
Brevicoryne brassicae US Columbia,0.07387677437964514,-0.19248867951559848,0.08657111108468292,-0.008320501735860712,4.1715139999601805,1.8275245127484228
Myzus persicae US Columbia,0.16739930154852137,-0.1863118544902546,0.20265746991991457,0.07277474996097551,0.5263843074480413,0.2677984494395858
Hyadaphis pseudobrassicae US Columbia,0.21176983986396117,0.11763233590591289,0.2875937566415963,0.08865531523524262,0.6685809502762191,0.3834108282382813
