Species,Latitude,Habitat,Subfamily,TPC.h,TPC.f,Model.h,Model.f,max.h,max.f,delta.TPC,delta.model
Clavigralla shadabi Benin,6.45,Tropical,Heteroptera,0.891390244545913,0.3114299981347204,0.8913902445458842,0.3114370074180915,272.11742658570193,124.43061797089007,-0.5799602464111926,-0.5799532371277928
Clavigralla tomentosicollis Benin,6.45,Tropical,Heteroptera,0.9611943762740833,0.8620654056192485,0.9611943768089699,0.8620710873108167,88.54290031667877,83.60748105230637,-0.09912897065483482,-0.09912328949815319
Clavigralla tomentosicollis Nigeria,7.45,Tropical,Heteroptera,0.9413194753395504,0.7069790762481035,0.9413194788898559,0.7069899698311175,222.3426096100038,194.90519280255518,-0.23434039909144694,-0.23432950905873845
Clavigralla tomentosicollis Burkina Faso,12.38,Tropical,Heteroptera,0.9154704410497999,0.4277930296988369,0.915470441051005,0.4277986836652573,222.34250279113334,202.2715248147027,-0.487677411350963,-0.4876717573857476
Apolygus lucorum China Dafeng,33.33,Temperate,Heteroptera,0.8017567233600708,0.9774418156406801,0.8011134295354538,0.9774396534125568,89.63714520965966,89.63731051837784,0.1756850922806094,0.17632622387710298
Adelphocoris suturalis China Dafeng,33.33,Temperate,Heteroptera,0.7828326380058198,0.9743687074670989,0.7817709345012582,0.9743666880792277,72.26722494472223,72.2676977181777,0.1915360694612791,0.19259575357796938
Apolygus lucorum China Langfang,39.88,Temperate,Heteroptera,0.8163198505010082,0.7462838710628201,0.814540728365551,0.7453885878154461,89.63622917614899,89.63730038566118,-0.07003597943818805,-0.06915214055010489
Adelphocoris suturalis China Xinxiang,35.53,Temperate,Heteroptera,0.7864287308054551,0.6698841320512223,0.7856800074034351,0.6693134862406729,72.26769821431527,72.26767003655527,-0.11654459875423277,-0.11636652116276223
Macrosiphum euphorbiae Brazil,21.23,Tropical,Sternorrhyncha,0.5404142503585173,0.33855530454914057,0.5399158459790847,0.3379938673325563,75.11358579706264,75.11433774628368,-0.20185894580937677,-0.2019219786465284
Aulacorthum solani Brazil,21.23,Tropical,Sternorrhyncha,0.485733650666599,0.3005460618170196,0.4857336506665808,0.3003600153825138,252.6332014531337,252.6331781680914,-0.1851875888495794,-0.18537363528406706
Uroleucon ambrosiae Brazil,21.23,Tropical,Sternorrhyncha,0.8298897605269391,0.41165287872903,0.8298897605269614,0.41165606218602074,89.64769415328045,70.27273931828599,-0.418236881797909,-0.41823369834094065
Macrolophus pygmaeus on Myzus persicae Greece,38.38,Mediterranean,Heteroptera,0.949753665966984,0.8648794184782257,0.9497536659670671,0.8648853476323285,201.18698042731208,201.18704227494544,-0.08487424748875824,-0.08486831833473872
Macrolophus pygmaeus on Trialeurodes vaporariorum Greece,38.38,Mediterranean,Heteroptera,0.9458402356114176,0.8671316721449024,0.9458402405799384,0.8671376355489165,198.02146117349218,198.0214623534476,-0.07870856346651517,-0.07870260503102187
Acyrthosiphon pisum UK Sand Hutton,54.02,Temperate,Sternorrhyncha,0.8984481006514824,0.8003548952724271,0.8975633390725182,0.8003549721674479,72.4257925217699,72.42606226063641,-0.09809320537905526,-0.09720836690507022
Bemisia argentifollii US Homestead,25.47,Subtropical,Sternorrhyncha,0.7790918175065514,0.49193846132666574,0.7790918175035711,0.49194212735148074,260.7548684230295,222.81862965849666,-0.2871533561798857,-0.2871496901520904
Rhopalosiphum rufiabdominalis US Weston,26.14,Subtropical,Sternorrhyncha,0.7706659300853156,0.49546645476827056,0.7706659300863123,0.4954696913699422,69.03194399496614,52.9871952554769,-0.2751994753170451,-0.27519623871637017
Aphis nasturtii US Weston,26.14,Subtropical,Sternorrhyncha,0.8483526447809604,0.6101059158685165,0.8483526447811114,0.6101092399225205,43.68797628667968,38.23162807306809,-0.23824672891244397,-0.23824340485859077
Diaphorina citri US Weston,26.24,Subtropical,Sternorrhyncha,0.7923449184707877,0.646968715595521,0.7923449184707887,0.6469742511346357,816.8379905688108,814.4517567958255,-0.14537620287526665,-0.14537066733615295
Eriosoma lanigerum Australia Yathroo,30.9,Subtropical,Sternorrhyncha,0.6888784006985013,0.5159767105276405,0.6888784006985008,0.5159849432345829,128.96292657481146,128.97006959618352,-0.17290169017086082,-0.17289345746391793
Macrosiphum euphorbiae Canada,42.81,Temperate,Sternorrhyncha,0.6235822006697127,0.429889615211918,0.623836213171932,0.42954993216989007,4770.969407450172,4771.413674007646,-0.19369258545779472,-0.19428628100204196
Myzus persicae Canada,42.81,Temperate,Sternorrhyncha,0.24714682028412685,0.13526624613416502,0.24714682032977678,0.13528190846044935,36270.4023625649,36276.36435519554,-0.11188057414996185,-0.11186491186932743
Hyperomyzus lactucae Australia Acton,35.27,Subtropical,Sternorrhyncha,0.4512755162289123,0.5281446042348462,0.45127551622880036,0.5281477184126262,71.42286845710402,71.42319389643244,0.07686908800593381,0.07687220218382582
Aphis gossypii China Henan,36.07,Temperate,Sternorrhyncha,0.6535654820332356,0.544456182419467,0.6531033192819349,0.5444318730471219,29.587797720041298,29.58861112293029,-0.1091092996137687,-0.10867144623481297
