period,yr,month,days,total_days,model,emissions,Tmin,Tmax,Tave,T_K,Prec_mm,Tmin_rollMean,Tmin_rollSD,Tmax_rollMean,Tmax_rollSD,degree_days,DD_rollMean,DD_rollSD
historical,1961,1,15,15,CGCM3.1 (T47),High (A2),-9.4901983,1.78540671,-3.852395795,269.2976042,,-5.8265976,3.11196871,4.51665747,2.88326654,,,
historical,1961,2,45,45,CGCM3.1 (T47),High (A2),-1.238633,10.4180855,4.58972625,277.7397263,,-2.5518788,1.24919789,8.4753382,1.32205335,,,
historical,1961,3,75,75,CGCM3.1 (T47),High (A2),3.07987339,14.7618258,8.920849595,282.0708496,,1.76255631,2.30929791,13.2913917,1.70829751,,,
historical,1961,4,105,105,CGCM3.1 (T47),High (A2),8.85060746,20.9647057,14.90765658,288.0576566,,6.68525948,1.622661,20.2166217,1.37127088,,,
historical,1961,5,135,135,CGCM3.1 (T47),High (A2),14.2751905,26.6663614,20.47077595,293.620776,,13.0689456,1.02417843,25.5436581,1.68948969,,,
historical,1961,6,165,165,CGCM3.1 (T47),High (A2),18.2201305,28.7356406,23.47788555,296.6278856,,18.2511331,0.61112519,30.6564345,1.08753893,,,
historical,1961,7,195,195,CGCM3.1 (T47),High (A2),20.2749733,30.1703356,25.22265445,298.3726545,,20.9146345,0.45995455,30.9659522,1.36115605,,,
historical,1961,8,225,225,CGCM3.1 (T47),High (A2),19.2898046,28.5676422,23.9287234,297.0787234,,19.9459381,0.41050234,28.9445189,0.63863408,,,
historical,1961,9,255,255,CGCM3.1 (T47),High (A2),14.954002,28.1814948,21.5677484,294.7177484,,14.5059346,0.59990365,25.9889077,1.27013192,,,
historical,1961,10,285,285,CGCM3.1 (T47),High (A2),9.76553046,22.76429,16.26491023,289.4149102,,9.06069082,0.74899721,20.5747869,1.17507991,,,
historical,1961,11,315,315,CGCM3.1 (T47),High (A2),1.62980786,13.0880139,7.35891088,280.5089109,,0.98375872,1.97113638,12.3445356,1.92983586,,,
historical,1961,12,345,345,CGCM3.1 (T47),High (A2),-3.1929553,5.85093462,1.32898966,274.4789897,,-3.5309635,1.218064,6.77659891,1.47062588,,,
historical,1962,1,375,375,CGCM3.1 (T47),High (A2),-9.6806925,0.62239689,-4.529147805,268.6208522,,-5.5229494,2.95223759,4.82358041,2.75446912,,,
historical,1962,2,405,405,CGCM3.1 (T47),High (A2),-2.6709305,9.16272446,3.24589698,276.395897,,-2.6860966,1.19436749,8.16990216,1.45243214,,,
historical,1962,3,435,435,CGCM3.1 (T47),High (A2),3.81486692,14.507442,9.16115446,282.3111545,,1.4005177,2.31550234,13.0218948,1.71473042,,,
historical,1962,4,465,465,CGCM3.1 (T47),High (A2),7.74227211,20.7460574,14.24416476,287.3941648,,6.89163149,1.5787072,20.2703909,1.25985094,,,
historical,1962,5,495,495,CGCM3.1 (T47),High (A2),13.8284644,25.4745772,19.6515208,292.8015208,,13.1080759,0.94065731,25.7024806,1.59850499,,,
historical,1962,6,525,525,CGCM3.1 (T47),High (A2),17.3701463,30.4063704,23.88825835,297.0382584,,18.2207643,0.56363479,30.6984542,0.99898801,,,
historical,1962,7,555,555,CGCM3.1 (T47),High (A2),21.2640168,32.4743757,26.86919625,300.0191963,,21.1070554,0.65990827,31.001601,1.24613428,,,
historical,1962,8,585,585,CGCM3.1 (T47),High (A2),20.2280966,29.6907597,24.95942815,298.1094282,,20.176944,0.71691891,28.9656443,0.58566363,,,
historical,1962,9,615,615,CGCM3.1 (T47),High (A2),14.0869886,25.1007479,19.59386825,292.7438683,,14.3907186,0.6267589,25.5411999,1.6575459,,,
historical,1962,10,645,645,CGCM3.1 (T47),High (A2),8.98960549,19.4595636,14.22458455,287.3745845,,8.90914912,0.79262322,20.4170254,1.15104221,,,
historical,1962,11,675,675,CGCM3.1 (T47),High (A2),-1.6937262,8.94592748,3.62610064,276.7761006,,1.21766926,1.90284379,12.3426334,1.76169824,,,
historical,1962,12,705,705,CGCM3.1 (T47),High (A2),-2.2350125,8.6238527,3.1944201,276.3444201,,-3.4304998,1.14326312,6.8680589,1.36412544,,,
historical,1963,1,735,735,CGCM3.1 (T47),High (A2),-2.5214206,8.2418029,2.86019115,276.0101912,,-5.4163676,2.74981514,4.94784278,2.57424897,,,
historical,1963,2,765,765,CGCM3.1 (T47),High (A2),-3.0144951,7.69214639,2.338825645,275.4888256,,-2.8976905,1.25733924,8.09392586,1.36175354,,,
historical,1963,3,795,795,CGCM3.1 (T47),High (A2),1.83716303,13.5772732,7.707218115,280.8572181,,0.88488727,2.59280024,12.5410002,2.09053447,,,
historical,1963,4,825,825,CGCM3.1 (T47),High (A2),5.19403536,18.8094214,12.00172838,285.1517284,,7.01274965,1.50120888,20.3037172,1.17019793,,,
historical,1963,5,855,855,CGCM3.1 (T47),High (A2),12.6141672,26.688116,19.6511416,292.8011416,,12.9486606,0.98068196,25.4429394,1.65199282,,,
historical,1963,6,885,885,CGCM3.1 (T47),High (A2),18.4836018,31.4449545,24.96427815,298.1142782,,18.1761985,0.53683296,30.4650665,1.13629553,,,
historical,1963,7,915,915,CGCM3.1 (T47),High (A2),20.5073416,30.0885908,25.2979662,298.4479662,,21.1839849,0.64854678,31.0529589,1.16280519,,,
historical,1963,8,945,945,CGCM3.1 (T47),High (A2),20.0486125,27.9943669,24.0214897,297.1714897,,20.3494969,0.82385927,29.1089344,0.67694757,,,
historical,1963,9,975,975,CGCM3.1 (T47),High (A2),14.3357148,25.8386118,20.0871633,293.2371633,,14.3851417,0.58048035,25.5460384,1.53465033,,,
historical,1963,10,1005,1005,CGCM3.1 (T47),High (A2),9.94764528,20.5269181,15.23728169,288.3872817,,8.78940447,0.80821506,20.3120709,1.10623262,,,
historical,1963,11,1035,1035,CGCM3.1 (T47),High (A2),0.63226583,14.5512036,7.591734715,280.7417347,,1.04820613,1.82573199,11.9641629,1.95093091,,,
historical,1963,12,1065,1065,CGCM3.1 (T47),High (A2),-5.0560219,8.06180099,1.502889545,274.6528895,,-4.3269229,2.74753062,5.83241115,3.18991133,,,
historical,1964,1,1095,1095,CGCM3.1 (T47),High (A2),-2.9818346,6.68928669,1.853726045,275.003726,,-6.0405658,3.18165176,4.29166086,3.11023882,,,
historical,1964,2,1125,1125,CGCM3.1 (T47),High (A2),-2.7523677,8.48362766,2.86562998,276.01563,,-3.5146747,2.19301486,7.41990496,2.38983549,,,
historical,1964,3,1155,1155,CGCM3.1 (T47),High (A2),2.27711834,13.8100918,8.04360507,281.1936051,,0.2768015,3.03483133,11.7786525,3.00908781,,,
historical,1964,4,1185,1185,CGCM3.1 (T47),High (A2),4.66179707,18.178562,11.42017954,284.5701795,,6.90941974,1.43806057,20.1360666,1.20463831,,,
historical,1964,5,1215,1215,CGCM3.1 (T47),High (A2),11.988546,23.335385,17.6619655,290.8119655,,13.1076358,1.03391402,25.6208646,1.63488893,,,
historical,1964,6,1245,1245,CGCM3.1 (T47),High (A2),18.0737711,31.5513049,24.812538,297.962538,,18.1694577,0.50256827,30.4353659,1.06663524,,,
historical,1964,7,1275,1275,CGCM3.1 (T47),High (A2),21.4876928,32.3356342,26.9116635,300.0616635,,21.1858599,0.60668604,31.0136526,1.09407783,,,
historical,1964,8,1305,1305,CGCM3.1 (T47),High (A2),20.0340367,28.6755412,24.35478895,297.504789,,20.1161297,1.041174,29.2042641,0.69481327,,,
