Species,Latitude,Habitat,Subfamily,TPC,Model
Clavigralla shadabi Benin,6.45,Tropical,Heteroptera,6.199999999999994,5.826849315068494
Clavigralla tomentosicollis Benin,6.45,Tropical,Heteroptera,12.599999999999971,10.436986301369865
Clavigralla tomentosicollis Nigeria,7.45,Tropical,Heteroptera,23.500000000000064,9.83095890410959
Clavigralla tomentosicollis Burkina Faso,12.38,Tropical,Heteroptera,22.50000000000005,9.022739726027398
Apolygus lucorum China Dafeng,33.33,Temperate,Heteroptera,9.99999999999998,13.333150684931509
Adelphocoris suturalis China Dafeng,33.33,Temperate,Heteroptera,24.200000000000074,19.579178082191785
Apolygus lucorum China Langfang,39.88,Temperate,Heteroptera,10.09999999999998,14.048219178082194
Adelphocoris suturalis China Xinxiang,35.53,Temperate,Heteroptera,24.300000000000075,19.775890410958908
Macrosiphum euphorbiae Brazil,21.23,Tropical,Sternorrhyncha,11.399999999999975,0.11643835616438358
Aulacorthum solani Brazil,21.23,Tropical,Sternorrhyncha,7.499999999999989,1.4676712328767125
Uroleucon ambrosiae Brazil,21.23,Tropical,Sternorrhyncha,8.999999999999984,8.704109589041098
Macrolophus pygmaeus on Myzus persicae Greece,38.38,Mediterranean,Heteroptera,12.89999999999997,14.287945205479454
Macrolophus pygmaeus on Trialeurodes vaporariorum Greece,38.38,Mediterranean,Heteroptera,11.299999999999976,14.013424657534248
Acyrthosiphon pisum UK Sand Hutton,54.02,Temperate,Sternorrhyncha,24.00000000000007,13.365753424657536
Bemisia argentifollii US Homestead,25.47,Subtropical,Sternorrhyncha,12.79999999999997,12.617534246575344
Rhopalosiphum rufiabdominalis US Weston,26.14,Subtropical,Sternorrhyncha,9.199999999999983,4.566301369863014
Aphis nasturtii US Weston,26.14,Subtropical,Sternorrhyncha,9.799999999999981,11.86246575342466
Diaphorina citri US Weston,26.24,Subtropical,Sternorrhyncha,5.4999999999999964,11.343561643835617
Eriosoma lanigerum Australia Yathroo,30.9,Subtropical,Sternorrhyncha,9.399999999999983,9.426849315068495
Macrosiphum euphorbiae Canada,42.81,Temperate,Sternorrhyncha,15.299999999999962,7.583013698630138
Myzus persicae Canada,42.81,Temperate,Sternorrhyncha,13.499999999999968,8.692602739726029
Hyperomyzus lactucae Australia Acton,35.27,Subtropical,Sternorrhyncha,10.699999999999978,22.439726027397263
Aphis gossypii China Henan,36.07,Temperate,Sternorrhyncha,14.299999999999965,12.769041095890412
Aulacorthum solani US Ithaca,42.42,Temperate,Sternorrhyncha,15.299999999999962,13.97095890410959
Brevicoryne brassicae US Columbia,38.93,Temperate,Sternorrhyncha,4.200000000000001,9.27232876712329
Myzus persicae US Columbia,38.93,Temperate,Sternorrhyncha,6.499999999999993,13.578904109589043
Hyadaphis pseudobrassicae US Columbia,38.93,Temperate,Sternorrhyncha,16.499999999999964,13.287671232876715
