Species,Latitude,Habitat,Subfamily,rMax.TPC,rMax.model.h,rMax.model.f,TPC historical,TPC future,Model historical,Model future,r.TPC.h,r.TPC.f,r.model.h,r.model.f,delta.TPC,delta.model,Notes
Clavigralla shadabi Benin,6.45,Tropical,Heteroptera,0.134,0.127,0.108,0.127,0.083,0.120,0.076,0.950,0.616,0.898,0.568,-0.334,-0.331,
Clavigralla tomentosicollis Benin,6.45,Tropical,Heteroptera,0.154,0.132,0.157,0.125,0.152,0.116,0.148,0.813,0.990,0.753,0.964,0.176,0.211,
Clavigralla tomentosicollis Nigeria,7.45,Tropical,Heteroptera,0.088,0.182,0.198,0.079,0.087,0.159,0.193,0.892,0.987,1.806,2.199,0.095,0.393,
Clavigralla tomentosicollis Burkina Faso,12.38,Tropical,Heteroptera,0.088,0.104,0.091,0.081,0.082,0.091,0.049,0.925,0.933,1.032,0.562,0.008,-0.470,
Apolygus lucorum China Dafeng,33.33,Temperate,Heteroptera,0.165,0.138,0.106,0.104,0.109,0.122,0.101,0.632,0.659,0.740,0.611,0.027,-0.129,Including overwintering
Adelphocoris suturalis China Dafeng,33.33,Temperate,Heteroptera,0.083,0.155,0.096,0.052,0.063,0.119,0.085,0.631,0.756,1.439,1.020,0.125,-0.418,Including overwintering
Apolygus lucorum China Langfang,39.88,Temperate,Heteroptera,0.165,0.219,0.296,0.105,0.116,0.187,0.245,0.638,0.705,1.133,1.485,0.066,0.352,Including overwintering
Adelphocoris suturalis China Xinxiang,35.53,Temperate,Heteroptera,0.083,0.178,0.160,0.054,0.054,0.138,0.118,0.648,0.656,1.660,1.421,0.008,-0.239,Including overwintering
Macrosiphum euphorbiae Brazil,21.23,Tropical,Sternorrhyncha,0.246,0.690,0.676,0.188,0.090,0.656,0.591,0.762,0.364,2.668,2.403,-0.398,-0.265,
Aulacorthum solani Brazil,21.23,Tropical,Sternorrhyncha,0.257,0.722,0.695,0.147,-0.026,0.687,0.551,0.571,-0.103,2.673,2.144,-0.673,-0.528,
Uroleucon ambrosiae Brazil,21.23,Tropical,Sternorrhyncha,0.249,0.781,0.774,0.231,0.197,0.730,0.558,0.927,0.789,2.933,2.240,-0.138,-0.693,
Macrolophus pygmaeus on Myzus persicae Greece,38.38,Mediterranean,Heteroptera,0.100,0.140,0.192,0.070,0.091,0.084,0.059,0.700,0.913,0.842,0.587,0.213,-0.255,Including overwintering
Macrolophus pygmaeus on Trialeurodes vaporariorum Greece,38.38,Mediterranean,Heteroptera,0.104,0.148,0.199,0.069,0.093,0.088,0.060,0.663,0.893,0.842,0.575,0.230,-0.267,Including overwintering
Acyrthosiphon pisum UK Sand Hutton,54.02,Temperate,Sternorrhyncha,0.286,0.449,0.264,0.124,0.154,0.279,0.163,0.433,0.539,0.975,0.570,0.107,-0.405,Including overwintering
Bemisia argentifollii US Homestead,25.47,Subtropical,Sternorrhyncha,0.194,0.136,0.117,0.161,0.175,0.109,0.102,0.828,0.903,0.560,0.527,0.075,-0.033,Including overwintering
Rhopalosiphum rufiabdominalis US Weston,26.14,Subtropical,Sternorrhyncha,0.443,0.283,0.249,0.407,0.378,0.263,0.130,0.920,0.853,0.595,0.293,-0.066,-0.302,Including overwintering
Aphis nasturtii US Weston,26.14,Subtropical,Sternorrhyncha,0.306,0.241,0.217,0.270,0.272,0.215,0.199,0.882,0.888,0.702,0.650,0.006,-0.052,Including overwintering
Diaphorina citri US Weston,26.24,Subtropical,Sternorrhyncha,0.199,0.188,0.158,0.158,0.123,0.136,0.103,0.794,0.618,0.682,0.518,-0.176,-0.164,Including overwintering
Eriosoma lanigerum Australia Yathroo,30.9,Subtropical,Sternorrhyncha,0.204,0.183,0.173,0.142,0.107,0.137,0.093,0.694,0.523,0.671,0.453,-0.172,-0.217,Including overwintering
Macrosiphum euphorbiae Canada,42.81,Temperate,Sternorrhyncha,1.49,2.66,-0.022,1.076,0.592,1.535,-0.275,0.722,0.398,1.030,-0.185,-0.325,-1.215,Including overwintering; extinct in model
Myzus persicae Canada,42.81,Temperate,Sternorrhyncha,3.42,1.40,1.19,1.852,0.978,0.723,0.120,0.542,0.286,0.211,0.035,-0.256,-0.176,Including overwintering
Hyperomyzus lactucae Australia Acton,35.27,Subtropical,Sternorrhyncha,0.332,0.384,0.393,0.188,0.252,0.166,0.246,0.567,0.760,0.500,0.740,0.193,0.239,Including overwintering
Aphis gossypii China Henan,36.07,Temperate,Sternorrhyncha,0.397,0.344,0.376,0.249,0.240,0.228,0.234,0.628,0.604,0.574,0.590,-0.024,0.015,Including overwintering
Aulacorthum solani US Ithaca,42.42,Temperate,Sternorrhyncha,0.464,0.454,0.075,0.258,0.045,0.312,-0.014,0.555,0.098,0.672,-0.031,-0.458,-0.703,Including overwintering; extinct in model
Brevicoryne brassicae US Columbia,38.93,Temperate,Sternorrhyncha,0.139,0.144,-0.029,0.074,-0.192,0.087,-0.008,0.531,-1.385,0.623,-0.060,-1.916,-0.683,Including overwintering; extinct in model
Myzus persicae US Columbia,38.93,Temperate,Sternorrhyncha,0.299,0.340,-0.029,0.167,-0.186,0.203,0.073,0.560,-0.623,0.678,0.243,-1.183,-0.434,Including overwintering
Hyadaphis pseudobrassicae US Columbia,38.93,Temperate,Sternorrhyncha,0.357,0.480,0.388,0.212,0.118,0.288,0.089,0.593,0.330,0.806,0.248,-0.264,-0.557,Including overwintering
