period,yr,month,days,total_days,model,emissions,Tmin,Tmax,Tave,T_K,Prec_mm,Tmin_rollMean,Tmin_rollSD,Tmax_rollMean,Tmax_rollSD,degree_days,DD_rollMean,DD_rollSD
historical,1961,1,15,15,CGCM3.1 (T47),High (A2),-10.398278,0.12388151,-5.137198245,268.0128018,,-10.203919,2.2907231,0.33465566,2.32968687,,,
historical,1961,2,45,45,CGCM3.1 (T47),High (A2),-4.8388159,5.59384537,0.377514735,273.5275147,,-5.6129259,1.89621068,5.28405219,1.58365254,,,
historical,1961,3,75,75,CGCM3.1 (T47),High (A2),-0.1801705,11.3376751,5.5787523,278.7287523,,-0.5411743,2.69206045,10.5704033,2.33801709,,,
historical,1961,4,105,105,CGCM3.1 (T47),High (A2),7.76489925,19.7127409,13.73882008,286.8888201,,6.45729478,1.41185909,19.0756263,1.97325382,,,
historical,1961,5,135,135,CGCM3.1 (T47),High (A2),14.0110059,26.1919384,20.10147215,293.2514722,,13.0429262,1.16972659,25.4968664,1.50017942,,,
historical,1961,6,165,165,CGCM3.1 (T47),High (A2),17.4961843,27.8108263,22.6535053,295.8035053,,18.0688133,0.60126611,29.2012235,1.60240829,,,
historical,1961,7,195,195,CGCM3.1 (T47),High (A2),20.6527205,31.0660381,25.8593793,299.0093793,,21.4632233,0.49157172,30.5951649,1.27597565,,,
historical,1961,8,225,225,CGCM3.1 (T47),High (A2),19.5659037,31.6546822,25.61029295,298.760293,,20.2296588,0.46149692,29.4441206,1.17932339,,,
historical,1961,9,255,255,CGCM3.1 (T47),High (A2),15.5824633,27.2533998,21.41793155,294.5679316,,14.8602591,0.48465068,26.0954103,1.09386406,,,
historical,1961,10,285,285,CGCM3.1 (T47),High (A2),9.22453499,22.2573709,15.74095295,288.8909529,,7.2330358,1.68701979,18.8010171,2.09883433,,,
historical,1961,11,315,315,CGCM3.1 (T47),High (A2),-0.1007447,10.8275604,5.36340785,278.5134079,,-0.860726,3.21149962,9.5191373,1.94199749,,,
historical,1961,12,345,345,CGCM3.1 (T47),High (A2),-7.2554448,2.79211211,-2.231666345,270.9183337,,-7.1494199,1.68196874,3.0033108,1.22554458,,,
historical,1962,1,375,375,CGCM3.1 (T47),High (A2),-13.898059,-3.6419052,-8.7699821,264.3800179,,-10.11839,2.10334263,0.54857592,2.20072728,,,
historical,1962,2,405,405,CGCM3.1 (T47),High (A2),-6.1574552,5.10584331,-0.525805945,272.6241941,,-5.8150081,1.81168604,5.01567176,1.61063937,,,
historical,1962,3,435,435,CGCM3.1 (T47),High (A2),2.01945198,11.8219032,6.92067759,280.0706776,,-0.4871439,2.46165788,10.6061053,2.13639705,,,
historical,1962,4,465,465,CGCM3.1 (T47),High (A2),8.11959076,21.9719782,15.04578448,288.1957845,,6.68289178,1.42034495,19.1072053,1.80326264,,,
historical,1962,5,495,495,CGCM3.1 (T47),High (A2),14.1292367,26.5970917,20.3631642,293.5131642,,13.142655,1.09992621,25.5661948,1.38169953,,,
historical,1962,6,525,525,CGCM3.1 (T47),High (A2),18.1819763,31.654315,24.91814565,298.0681457,,18.1627295,0.60250247,29.241718,1.46671023,,,
historical,1962,7,555,555,CGCM3.1 (T47),High (A2),21.4036961,31.3317289,26.3677125,299.5177125,,21.4888971,0.45385345,30.4576,1.22034021,,,
historical,1962,8,585,585,CGCM3.1 (T47),High (A2),19.9739885,29.655694,24.81484125,297.9648413,,20.3588775,0.54255426,29.3523731,1.10359694,,,
historical,1962,9,615,615,CGCM3.1 (T47),High (A2),14.7576694,26.0455379,20.40160365,293.5516037,,14.7213086,0.57522985,25.9249901,1.09563538,,,
