Species,Latitude,Habitat,Subfamily,TPC.h,TPC.f,Model.h,Model.f,max.h,max.f,delta.TPC,delta.model
Clavigralla shadabi Benin,6.45,Tropical,Heteroptera,0.950112062271637,0.6161053591045906,0.8983896859859698,0.5675292109270996,0.12663365543309466,0.10765084803844464,-0.3340067031670464,-0.33086047505887023
Clavigralla tomentosicollis Benin,6.45,Tropical,Heteroptera,0.8133387759876057,0.9896823915545706,0.7530169074433574,0.9635725803208749,0.13206162661872745,0.15710431410527245,0.17634361556696482,0.21055567287751759
Clavigralla tomentosicollis Nigeria,7.45,Tropical,Heteroptera,0.8921192466718045,0.9871052949219404,1.8060464752773355,2.1986753433723956,0.18165243901009784,0.20334092401802994,0.09498604825013593,0.39262886809505987
Clavigralla tomentosicollis Burkina Faso,12.38,Tropical,Heteroptera,0.9253239468563661,0.9332763783889617,1.0320257973028029,0.561641616357317,0.10366648833933217,0.0914352358415853,0.007952431532595634,-0.47038418094548573
Apolygus lucorum China Dafeng,33.33,Temperate,Heteroptera,0.6321412502847988,0.6589330686922021,0.7404539672318354,0.6110731710825764,0.6992847773015141,0.10563026965879599,0.026791818407403377,-0.12938079614925896
Adelphocoris suturalis China Dafeng,33.33,Temperate,Heteroptera,0.6307020252981298,0.7562059069751694,1.438542093732466,1.020274567552395,0.6030915979344316,0.0963620322408162,0.12550388167703955,-0.418267526180071
Apolygus lucorum China Langfang,39.88,Temperate,Heteroptera,0.6381708195813194,0.7046237360179172,1.1328886797558613,1.4849132391113795,0.6384859435751857,0.740061464189584,0.06645291643659774,0.35202455935551824
Adelphocoris suturalis China Xinxiang,35.53,Temperate,Heteroptera,0.6478793661043469,0.655908109156832,1.6596234176500868,1.420769070569747,0.6780146202128013,0.7591888925144797,0.008028743052485037,-0.23885434708033954
Macrosiphum euphorbiae Brazil,21.23,Tropical,Sternorrhyncha,0.9490251950820364,0.8866206310756394,2.6863953095727826,1.9478900140590545,0.6931471805599453,0.682198166070275,-0.06240456400639701,-0.738505295513728
Aulacorthum solani Brazil,21.23,Tropical,Sternorrhyncha,0.9315851165835383,0.7914038007781498,2.672597925970459,1.6091749075133541,0.7259370033829363,0.7030975114131134,-0.14018131580538856,-1.0634230184571047
Uroleucon ambrosiae Brazil,21.23,Tropical,Sternorrhyncha,0.9116052428820541,0.8062902724004966,2.9332008380436783,2.2398407351648575,0.7848448457406537,0.7774542870199393,-0.10531497048155761,-0.6933601028788204
Macrolophus pygmaeus on Myzus persicae Greece,38.38,Mediterranean,Heteroptera,0.5932342539182367,0.34118535574059067,0.8422840347384664,1.1490892657957237,0.4057465774476147,0.8267296257648149,-0.25204889817764603,0.3068052310572573
Macrolophus pygmaeus on Trialeurodes vaporariorum Greece,38.38,Mediterranean,Heteroptera,0.5713611502998844,0.001586309201753535,0.8421615516543114,1.0962561686157686,0.44737849534727525,0.6293964051369547,-0.5697748410981308,0.2540946169614571
Acyrthosiphon pisum UK Sand Hutton,54.02,Temperate,Sternorrhyncha,0.4321514026503263,0.5393250316617721,0.9754737847033872,0.5703329637523824,0.5294431827820613,0.35986416018838496,0.10717362901144578,-0.4051408209510049
