period,yr,month,days,total_days,model,emissions,Tmin,Tmax,Tave,T_K,Prec_mm,Tmin_rollMean,Tmin_rollSD,Tmax_rollMean,Tmax_rollSD,degree_days,DD_rollMean,DD_rollSD
historical,1961,1,15,15,CGCM3.1 (T47),High (A2),-4.7739153,7.6759944,1.45103955,274.6010396,,-0.6516645,2.6230396,10.9152399,2.14238508,,,
historical,1961,2,45,45,CGCM3.1 (T47),High (A2),-2.6670077,10.8257866,4.07938945,277.2293895,,1.38854291,2.39700241,14.3946733,2.3028944,,,
historical,1961,3,75,75,CGCM3.1 (T47),High (A2),3.58154011,16.6085835,10.09506181,283.2450618,,5.04619606,1.58113837,18.4457467,1.54544248,,,
historical,1961,4,105,105,CGCM3.1 (T47),High (A2),10.2763567,24.5819721,17.4291644,290.5791644,,11.7705506,1.37268723,24.5887451,0.52441918,,,
historical,1961,5,135,135,CGCM3.1 (T47),High (A2),13.0303545,28.5311947,20.7807746,293.9307746,,15.496617,1.46131045,29.0193907,0.97779174,,,
historical,1961,6,165,165,CGCM3.1 (T47),High (A2),20.3779659,32.410881,26.39442345,299.5444235,,19.2477201,0.71845259,31.2488619,1.86400032,,,
historical,1961,7,195,195,CGCM3.1 (T47),High (A2),21.3358898,33.5895805,27.46273515,300.6127352,,21.8259382,1.0856843,34.2857834,2.27584017,,,
historical,1961,8,225,225,CGCM3.1 (T47),High (A2),19.9791718,32.4558792,26.2175255,299.3675255,,20.5674171,0.59810633,33.1240199,1.97037325,,,
historical,1961,9,255,255,CGCM3.1 (T47),High (A2),17.6011581,30.838089,24.21962355,297.3696236,,16.5264672,1.96036616,29.9249093,1.86429434,,,
historical,1961,10,285,285,CGCM3.1 (T47),High (A2),12.4697847,27.4893894,19.97958705,293.1295871,,11.2678576,3.40600162,25.0797011,2.11370716,,,
historical,1961,11,315,315,CGCM3.1 (T47),High (A2),-0.3002356,13.0176601,6.35871225,279.5087123,,3.6933139,2.40336122,17.6529824,2.87665552,,,
historical,1961,12,345,345,CGCM3.1 (T47),High (A2),-0.3730005,11.4827099,5.5548547,278.7048547,,0.17953356,1.03974862,11.9673691,1.7475746,,,
historical,1962,1,375,375,CGCM3.1 (T47),High (A2),0.77276689,10.8426247,5.807695795,278.9576958,,-0.8078967,2.42991221,10.8400562,1.96581102,,,
historical,1962,2,405,405,CGCM3.1 (T47),High (A2),1.61117566,13.7303591,7.67076738,280.8207674,,1.15855184,2.27118656,14.0800931,2.26100875,,,
historical,1962,3,435,435,CGCM3.1 (T47),High (A2),3.39188433,17.2485752,10.32022977,283.4702298,,5.2428766,1.53431247,18.5601055,1.44286953,,,
historical,1962,4,465,465,CGCM3.1 (T47),High (A2),11.9744511,24.7573586,18.36590485,291.5159049,,11.7412314,1.25548496,24.5195757,0.51251386,,,
historical,1962,5,495,495,CGCM3.1 (T47),High (A2),15.954546,30.6563416,23.3054438,296.4554438,,15.3768191,1.37112521,28.785659,1.08588413,,,
historical,1962,6,525,525,CGCM3.1 (T47),High (A2),18.5286217,33.6659927,26.0973072,299.2473072,,19.1820777,0.67845971,30.9621601,1.8630083,,,
historical,1962,7,555,555,CGCM3.1 (T47),High (A2),21.8874817,36.6945343,29.291008,302.441008,,21.3075041,1.69223999,33.4857535,2.96589664,,,
historical,1962,8,585,585,CGCM3.1 (T47),High (A2),20.4899216,35.080677,27.7852993,300.9352993,,20.1383918,1.25958276,32.495797,2.44907272,,,
historical,1962,9,615,615,CGCM3.1 (T47),High (A2),15.6719465,29.6286144,22.65028045,295.8002805,,16.0500251,2.18895151,29.6825357,1.81866501,,,
historical,1962,10,645,645,CGCM3.1 (T47),High (A2),9.62874699,24.3302917,16.97951935,290.1295193,,11.1772584,3.11846598,25.4572372,2.17275548,,,
historical,1962,11,675,675,CGCM3.1 (T47),High (A2),4.08768511,18.0607796,11.07423236,284.2242324,,4.24656621,2.63743647,18.178375,2.97123162,,,
historical,1962,12,705,705,CGCM3.1 (T47),High (A2),-1.3263015,9.50775433,4.090726415,277.2407264,,0.56186134,1.38712631,12.1480573,1.66539835,,,
historical,1963,1,735,735,CGCM3.1 (T47),High (A2),1.04150343,13.3541479,7.197825665,280.3478257,,-0.597609,2.32696035,10.8635219,1.82119715,,,
historical,1963,2,765,765,CGCM3.1 (T47),High (A2),1.11256981,13.5368252,7.324697505,280.4746975,,1.25563169,2.12056267,14.0820644,2.09329477,,,
historical,1963,3,795,795,CGCM3.1 (T47),High (A2),6.18613338,18.8887157,12.53742454,285.6874245,,5.82159865,2.16729471,18.8886943,1.62733741,,,
historical,1963,4,825,825,CGCM3.1 (T47),High (A2),9.88601685,23.71982,16.80291843,289.9529184,,11.6404501,1.19679567,24.5569134,0.4861059,,,
historical,1963,5,855,855,CGCM3.1 (T47),High (A2),17.146328,28.991621,23.0689745,296.2189745,,15.6451199,1.47895161,28.961015,1.1210232,,,
historical,1963,6,885,885,CGCM3.1 (T47),High (A2),19.3008404,31.2440701,25.27245525,298.4224553,,19.2288084,0.6418874,31.2015231,1.85292428,,,
historical,1963,7,915,915,CGCM3.1 (T47),High (A2),22.0244389,33.7785416,27.90149025,301.0514903,,21.4351921,1.60779769,33.6838391,2.8024627,,,
historical,1963,8,945,945,CGCM3.1 (T47),High (A2),21.016077,32.1250305,26.57055375,299.7205538,,19.9616034,1.26883093,32.2713594,2.35458786,,,
historical,1963,9,975,975,CGCM3.1 (T47),High (A2),17.0764751,28.3546829,22.715579,295.865579,,16.2004473,2.07075401,29.8641028,1.76033216,,,
historical,1963,10,1005,1005,CGCM3.1 (T47),High (A2),14.2357016,23.0159893,18.62584545,291.7758455,,11.1475763,2.88835885,25.5064147,2.01638395,,,
historical,1963,11,1035,1035,CGCM3.1 (T47),High (A2),5.14192772,18.0732918,11.60760976,284.7576098,,5.06171106,3.35827868,18.5951202,2.99273387,,,
historical,1963,12,1065,1065,CGCM3.1 (T47),High (A2),0.19619508,11.208065,5.70213004,278.85213,,1.34376379,2.55738476,12.7728184,2.34519559,,,
historical,1964,1,1095,1095,CGCM3.1 (T47),High (A2),-2.792479,9.42870617,3.318113585,276.4681136,,-0.2682138,2.39048358,11.0880577,1.8319146,,,
historical,1964,2,1125,1125,CGCM3.1 (T47),High (A2),1.97085261,15.6457291,8.808290855,281.9582909,,1.44016555,2.05940829,14.3127304,2.07677846,,,
historical,1964,3,1155,1155,CGCM3.1 (T47),High (A2),4.35521698,18.3519077,11.35356234,284.5035623,,5.90321938,2.04205241,18.9663779,1.53997122,,,
historical,1964,4,1185,1185,CGCM3.1 (T47),High (A2),13.197403,25.1412106,19.1693068,292.3193068,,11.2410061,1.6399023,24.2303486,1.08007529,,,
historical,1964,5,1215,1215,CGCM3.1 (T47),High (A2),15.1026697,28.962101,22.03238535,295.1823854,,15.4221056,1.53671863,28.6895667,1.32769117,,,
historical,1964,6,1245,1245,CGCM3.1 (T47),High (A2),19.7542973,30.8667526,25.31052495,298.460525,,19.0571503,0.79102181,30.9450777,1.89632287,,,
historical,1964,7,1275,1275,CGCM3.1 (T47),High (A2),21.1557827,34.2265663,27.6911745,300.8411745,,21.172788,1.69752468,33.3287921,2.82959316,,,
historical,1964,8,1305,1305,CGCM3.1 (T47),High (A2),21.4113178,35.7284775,28.56989765,301.7198977,,19.8884678,1.20699204,32.0723241,2.28201863,,,
historical,1964,9,1335,1335,CGCM3.1 (T47),High (A2),19.6184902,32.6468048,26.1326475,299.2826475,,16.1284755,1.94900971,29.7063137,1.71333008,,,
historical,1964,10,1365,1365,CGCM3.1 (T47),High (A2),11.7105942,24.354454,18.0325241,291.1825241,,11.1375548,2.70197958,25.1925168,2.10816644,,,
historical,1964,11,1395,1395,CGCM3.1 (T47),High (A2),3.54223824,16.3849564,9.96359732,283.1135973,,4.96604648,3.15446455,18.4306744,2.84258345,,,
historical,1964,12,1425,1425,CGCM3.1 (T47),High (A2),0.60926473,14.7818851,7.695574915,280.8455749,,0.70017748,3.07416977,12.3760098,2.4959093,,,
historical,1965,1,1455,1455,CGCM3.1 (T47),High (A2),2.14230657,12.9637299,7.553018235,280.7030182,,-0.1098542,2.30873448,11.3394841,1.90136383,,,
historical,1965,2,1485,1485,CGCM3.1 (T47),High (A2),4.82476711,17.6682816,11.24652436,284.3965244,,1.80557588,2.25946216,14.4511704,2.00635045,,,
historical,1965,3,1515,1515,CGCM3.1 (T47),High (A2),7.4481225,21.0774155,14.262769,287.412769,,6.24253659,2.20408912,19.2216583,1.6612318,,,
historical,1965,4,1545,1545,CGCM3.1 (T47),High (A2),12.5178938,25.036459,18.7771764,291.9271764,,11.027392,1.68724052,24.0390949,1.18436658,,,
historical,1965,5,1575,1575,CGCM3.1 (T47),High (A2),16.6555481,29.2914906,22.97351935,296.1235194,,15.2629739,1.53373524,28.5670797,1.31031744,,,
historical,1965,6,1605,1605,CGCM3.1 (T47),High (A2),18.5955639,28.0813656,23.33846475,296.4884648,,19.1536144,0.80575729,30.8752655,1.8014488,,,
historical,1965,7,1635,1635,CGCM3.1 (T47),High (A2),20.7339478,30.6555424,25.6947451,298.8447451,,21.0154535,1.67599364,32.7805561,3.18160385,,,
historical,1965,8,1665,1665,CGCM3.1 (T47),High (A2),19.8498402,30.4184208,25.1341305,298.2841305,,19.8670925,1.13996879,31.8528839,2.26064722,,,
historical,1965,9,1695,1695,CGCM3.1 (T47),High (A2),14.5298071,27.4566402,20.99322365,294.1432237,,16.0620992,1.84949346,29.5138559,1.72619034,,,
historical,1965,10,1725,1725,CGCM3.1 (T47),High (A2),5.28403425,23.3474426,14.31573843,287.4657384,,11.3618902,2.64438448,25.3643606,2.06054616,,,
historical,1965,11,1755,1755,CGCM3.1 (T47),High (A2),2.84329915,21.7811432,12.31222118,285.4622212,,5.15025143,3.03056659,18.3441263,2.69395202,,,
historical,1965,12,1785,1785,CGCM3.1 (T47),High (A2),1.80661023,12.6266403,7.216625265,280.3666253,,0.89886167,2.96567296,12.4142639,2.35627318,,,
historical,1966,1,1815,1815,CGCM3.1 (T47),High (A2),-0.3001696,11.2262363,5.46303335,278.6130334,,-0.1033171,2.19036515,11.2381822,1.83481572,,,
historical,1966,2,1845,1845,CGCM3.1 (T47),High (A2),1.47889996,14.9610586,8.21997928,281.3699793,,1.53352484,2.32567877,14.215784,2.05727308,,,
historical,1966,3,1875,1875,CGCM3.1 (T47),High (A2),5.31427908,18.4992828,11.90678094,285.0567809,,5.96507502,2.2845223,18.9120839,1.88093637,,,
historical,1966,4,1905,1905,CGCM3.1 (T47),High (A2),12.7711821,24.2956505,18.5334163,291.6834163,,10.9312266,1.63212384,24.1357826,1.16845424,,,
historical,1966,5,1935,1935,CGCM3.1 (T47),High (A2),15.0902557,27.6835957,21.3869257,294.5369257,,15.350297,1.4835727,28.7905161,1.44720434,,,
historical,1966,6,1965,1965,CGCM3.1 (T47),High (A2),18.9290314,31.2241096,25.0765705,298.2265705,,19.2342727,0.80986644,30.919509,1.71529251,,,
historical,1966,7,1995,1995,CGCM3.1 (T47),High (A2),23.8180885,36.7699356,30.29401205,303.4440121,,21.2519899,1.7729927,33.2081403,3.3348843,,,
historical,1966,8,2025,2025,CGCM3.1 (T47),High (A2),20.6581745,32.9356346,26.79690455,299.9469046,,20.040652,1.22512361,32.0472391,2.23941661,,,
historical,1966,9,2055,2055,CGCM3.1 (T47),High (A2),14.6609259,30.6246243,22.6427751,295.7927751,,15.901434,1.8337147,29.1723458,1.99115065,,,
historical,1966,10,2085,2085,CGCM3.1 (T47),High (A2),14.2782841,27.9406395,21.1094618,294.2594618,,11.3033354,2.5161891,25.0410734,2.22955748,,,
historical,1966,11,2115,2115,CGCM3.1 (T47),High (A2),6.8449688,18.6000633,12.72251605,285.8725161,,5.00034009,2.91772308,18.0368228,2.75144134,,,
historical,1966,12,2145,2145,CGCM3.1 (T47),High (A2),0.16443329,12.1971598,6.180796545,279.3307965,,1.39059333,3.25199859,12.8434679,2.6501316,,,
historical,1967,1,2175,2175,CGCM3.1 (T47),High (A2),-1.7452896,10.3889542,4.3218323,277.4718323,,0.43481483,1.56641932,11.7369739,1.48132922,,,
historical,1967,2,2205,2205,CGCM3.1 (T47),High (A2),-0.2213946,12.1926117,5.98560855,279.1356086,,1.87482291,1.88045628,14.338947,1.86565906,,,
historical,1967,3,2235,2235,CGCM3.1 (T47),High (A2),6.4229598,19.2462578,12.8346088,285.9846088,,6.20517666,2.14339439,19.240775,1.74946556,,,
historical,1967,4,2265,2265,CGCM3.1 (T47),High (A2),11.5653162,24.1045589,17.83493755,290.9849376,,10.872434,1.66929736,24.0916786,1.15904654,,,
historical,1967,5,2295,2295,CGCM3.1 (T47),High (A2),14.6580315,27.3832684,21.02064995,294.17065,,15.542695,1.2752254,28.5669318,1.66488616,,,
historical,1967,6,2325,2325,CGCM3.1 (T47),High (A2),18.7882233,29.2419491,24.0150862,297.1650862,,19.2187866,0.78711923,30.8858995,1.6865291,,,
historical,1967,7,2355,2355,CGCM3.1 (T47),High (A2),18.1968994,28.6855736,23.4412365,296.5912365,,21.3898295,1.83791806,33.3338932,3.37652674,,,
historical,1967,8,2385,2385,CGCM3.1 (T47),High (A2),17.5642395,28.7264595,23.1453495,296.2953495,,20.1907968,1.31476146,32.1174462,2.26546305,,,
historical,1967,9,2415,2415,CGCM3.1 (T47),High (A2),13.1913729,28.2282944,20.70983365,293.8598337,,15.7402215,1.7451524,29.1362173,1.96128559,,,
historical,1967,10,2445,2445,CGCM3.1 (T47),High (A2),10.6336632,27.7224541,19.17805865,292.3280587,,11.3021036,2.5155642,24.857987,2.08650331,,,
historical,1967,11,2475,2475,CGCM3.1 (T47),High (A2),7.56608009,21.3307304,14.44840525,287.5984052,,5.37159118,2.38745705,18.5677774,2.19284872,,,
historical,1967,12,2505,2505,CGCM3.1 (T47),High (A2),2.85582805,13.2321863,8.044007175,281.1940072,,1.65710212,3.21290552,13.1530693,2.67408624,,,
historical,1968,1,2535,2535,CGCM3.1 (T47),High (A2),0.87440485,11.0277815,5.951093175,279.1010932,,0.36050234,1.5681723,11.7346345,1.48290239,,,
historical,1968,2,2565,2565,CGCM3.1 (T47),High (A2),1.93519068,14.0958633,8.01552699,281.165527,,2.02425894,1.92225954,14.4662315,1.8677468,,,
historical,1968,3,2595,2595,CGCM3.1 (T47),High (A2),9.87265301,21.1888161,15.53073456,288.6807346,,6.80357664,2.19759061,19.7218864,1.87033295,,,
historical,1968,4,2625,2625,CGCM3.1 (T47),High (A2),10.9349813,24.8182774,17.87662935,291.0266294,,10.7190311,1.63508254,24.0045556,1.13986499,,,
historical,1968,5,2655,2655,CGCM3.1 (T47),High (A2),17.5232258,30.1885071,23.85586645,297.0058665,,15.5175344,1.26900202,28.4428727,1.53976636,,,
historical,1968,6,2685,2685,CGCM3.1 (T47),High (A2),19.5559235,32.8770638,26.21649365,299.3664937,,19.4751585,0.97636229,30.9918863,1.90162644,,,
historical,1968,7,2715,2715,CGCM3.1 (T47),High (A2),22.3290081,35.0704384,28.69972325,301.8497233,,21.4616351,1.87437311,33.1331097,3.21868176,,,
historical,1968,8,2745,2745,CGCM3.1 (T47),High (A2),18.7240849,30.7002964,24.71219065,297.8621907,,20.2145528,1.32304149,32.0689534,2.20046818,,,
historical,1968,9,2775,2775,CGCM3.1 (T47),High (A2),17.2534027,31.1350727,24.1942377,297.3442377,,15.7587327,1.74543568,29.3184856,2.09988732,,,
historical,1968,10,2805,2805,CGCM3.1 (T47),High (A2),10.9398012,25.8506565,18.39522885,291.5452289,,11.5069636,2.45673333,25.2098432,2.30365941,,,
historical,1968,11,2835,2835,CGCM3.1 (T47),High (A2),10.767725,21.5123367,16.14003085,289.2900309,,5.77718466,2.52267344,18.8225359,2.28874418,,,
